,Ano,cnae_secao,Entrada,Nascimento,Reentrada,Saída de atividade,Sobrevivente,Total de empresas ativas
64,2015,Indústrias extrativas,1510.0,947.0,563.0,1623.0,8962.0,10472.0
65,2015,Indústrias de transformação,48290.0,33001.0,15289.0,55949.0,373567.0,421857.0
66,2015,Eletricidade e gás,567.0,370.0,197.0,344.0,1983.0,2550.0
67,2015,"Água, esgoto, atividades de gestão de resíduos e descontaminação",1753.0,1203.0,550.0,1551.0,8824.0,10577.0
68,2015,Construção,50242.0,35575.0,14667.0,48507.0,196124.0,246366.0
69,2015,Comércio; reparação de veículos automotores e motocicletas,276058.0,182319.0,93739.0,311479.0,1728677.0,2004735.0
70,2015,"Transporte, armazenagem e correio",36967.0,25770.0,11197.0,38131.0,198454.0,235421.0
71,2015,Alojamento e alimentação,48878.0,36951.0,11927.0,47879.0,268121.0,316999.0
72,2015,Informação e comunicação,25161.0,15543.0,9618.0,29047.0,112792.0,137953.0
73,2015,"Atividades financeiras, de seguros e serviços relacionados",17419.0,11906.0,5513.0,12901.0,63614.0,81033.0
74,2015,Atividades imobiliárias,17457.0,12232.0,5225.0,11485.0,60797.0,78254.0
75,2015,"Atividades profissionais, científicas e técnicas",52775.0,36278.0,16497.0,43266.0,214561.0,267336.0
76,2015,Atividades administrativas e serviços complementares,52355.0,36406.0,15949.0,49746.0,233801.0,286156.0
77,2015,"Administração pública, defesa e seguridade social",41.0,23.0,18.0,42.0,200.0,241.0
78,2015,Educação,15100.0,10985.0,4115.0,12721.0,84154.0,99254.0
79,2015,Saúde humana e serviços sociais,29409.0,22231.0,7178.0,16088.0,133449.0,162858.0
80,2015,"Artes, cultura, esporte e recreação",10281.0,7069.0,3212.0,8909.0,40538.0,50819.0
81,2015,Outras atividades de serviços,18434.0,12526.0,5908.0,18816.0,88077.0,106511.0
82,2015,tal,708644.0,485368.0,223276.0,713628.0,3843787.0,4552431.0
83,2015,Organismos internacionais e outras instituições extraterritoriais,1.0,1.0,,,2.0,3.0
84,2016,"Agricultura, pecuária, produção florestal, pesca e aquicultura",5430.0,3955.0,1475.0,5238.0,27838.0,33268.0
85,2016,Indústrias extrativas,1332.0,781.0,551.0,1510.0,8963.0,10295.0
86,2016,Indústrias de transformação,42936.0,30122.0,12814.0,56526.0,365940.0,408876.0
87,2016,Eletricidade e gás,432.0,282.0,150.0,622.0,1936.0,2368.0
88,2016,"Água, esgoto, atividades de gestão de resíduos e descontaminação",1550.0,1109.0,441.0,1637.0,9041.0,10591.0
89,2016,Construção,44359.0,31115.0,13244.0,50677.0,195552.0,239911.0
90,2016,Comércio; reparação de veículos automotores e motocicletas,243586.0,169012.0,74574.0,308132.0,1694135.0,1937721.0
91,2016,"Transporte, armazenagem e correio",32290.0,22734.0,9556.0,39905.0,195587.0,227877.0
92,2016,Alojamento e alimentação,44584.0,35167.0,9417.0,50741.0,266523.0,311107.0
93,2016,Informação e comunicação,25197.0,16510.0,8687.0,26855.0,111535.0,136732.0
94,2016,"Atividades financeiras, de seguros e serviços relacionados",17366.0,12802.0,4564.0,12616.0,68522.0,85888.0
95,2016,Atividades imobiliárias,16251.0,11589.0,4662.0,12177.0,67000.0,83251.0
96,2016,"Atividades profissionais, científicas e técnicas",53944.0,39612.0,14332.0,43502.0,224685.0,278629.0
97,2016,Atividades administrativas e serviços complementares,49320.0,35710.0,13610.0,50654.0,235271.0,284591.0
98,2016,"Administração pública, defesa e seguridade social",27.0,18.0,9.0,65.0,172.0,199.0
99,2016,Educação,14743.0,11054.0,3689.0,13054.0,86566.0,101309.0
100,2016,Saúde humana e serviços sociais,30341.0,24443.0,5898.0,16928.0,146205.0,176546.0
101,2016,"Artes, cultura, esporte e recreação",8858.0,6375.0,2483.0,9090.0,41775.0,50633.0
102,2016,Outras atividades de serviços,15928.0,11359.0,4569.0,19622.0,85876.0,101804.0
103,2016,tal,648474.0,463749.0,184725.0,719551.0,3833122.0,4481596.0
104,2017,"Agricultura, pecuária, produção florestal, pesca e aquicultura",5704.0,4307.0,1397.0,5029.0,27406.0,33110.0
105,2017,Indústrias extrativas,1315.0,859.0,456.0,1510.0,8752.0,10067.0
106,2017,Indústrias de transformação,43697.0,31387.0,12310.0,54692.0,354468.0,398165.0
107,2017,Eletricidade e gás,612.0,378.0,234.0,364.0,2012.0,2624.0
108,2017,"Água, esgoto, atividades de gestão de resíduos e descontaminação",1723.0,1280.0,443.0,1639.0,9011.0,10734.0
