COD_MUN;Município;UF;Município - UF;Mês;2022
643;Acrelândia;AC;Acrelândia - AC;1;962.058,02
643;Acrelândia;AC;Acrelândia - AC;2;1.342.951,89
643;Acrelândia;AC;Acrelândia - AC;3;814.151,92
643;Acrelândia;AC;Acrelândia - AC;4;965.058,31
643;Acrelândia;AC;Acrelândia - AC;5;1.073.531,06
643;Acrelândia;AC;Acrelândia - AC;6;1.004.493,20
643;Acrelândia;AC;Acrelândia - AC;7;1.474.610,27
643;Acrelândia;AC;Acrelândia - AC;8;982.290,00
643;Acrelândia;AC;Acrelândia - AC;9;926.831,29
643;Acrelândia;AC;Acrelândia - AC;10;860.767,50
643;Acrelândia;AC;Acrelândia - AC;11;1.081.828,06
643;Acrelândia;AC;Acrelândia - AC;12;1.811.726,87
157;Assis Brasil;AC;Assis Brasil - AC;1;577.234,83
157;Assis Brasil;AC;Assis Brasil - AC;2;805.771,15
157;Assis Brasil;AC;Assis Brasil - AC;3;488.491,15
157;Assis Brasil;AC;Assis Brasil - AC;4;579.035,00
157;Assis Brasil;AC;Assis Brasil - AC;5;644.118,65
157;Assis Brasil;AC;Assis Brasil - AC;6;602.695,93
157;Assis Brasil;AC;Assis Brasil - AC;7;884.766,17
157;Assis Brasil;AC;Assis Brasil - AC;8;589.374,00
157;Assis Brasil;AC;Assis Brasil - AC;9;556.098,80
157;Assis Brasil;AC;Assis Brasil - AC;10;516.460,52
157;Assis Brasil;AC;Assis Brasil - AC;11;649.096,85
157;Assis Brasil;AC;Assis Brasil - AC;12;1.087.036,13
105;Brasiléia;AC;Brasiléia - AC;1;1.346.881,24
105;Brasiléia;AC;Brasiléia - AC;2;1.880.132,61
105;Brasiléia;AC;Brasiléia - AC;3;1.139.812,69
105;Brasiléia;AC;Brasiléia - AC;4;1.351.081,65
105;Brasiléia;AC;Brasiléia - AC;5;1.502.943,49
105;Brasiléia;AC;Brasiléia - AC;6;1.406.290,45
105;Brasiléia;AC;Brasiléia - AC;7;2.064.454,37
105;Brasiléia;AC;Brasiléia - AC;8;1.375.205,97
105;Brasiléia;AC;Brasiléia - AC;9;1.297.563,81
105;Brasiléia;AC;Brasiléia - AC;10;1.205.074,47
105;Brasiléia;AC;Brasiléia - AC;11;1.514.559,24
105;Brasiléia;AC;Brasiléia - AC;12;2.536.417,61
645;Bujari;AC;Bujari - AC;1;769.646,45
645;Bujari;AC;Bujari - AC;2;1.074.361,50
645;Bujari;AC;Bujari - AC;3;651.321,55
645;Bujari;AC;Bujari - AC;4;772.046,65
645;Bujari;AC;Bujari - AC;5;858.824,86
645;Bujari;AC;Bujari - AC;6;803.594,55
645;Bujari;AC;Bujari - AC;7;1.179.688,20
645;Bujari;AC;Bujari - AC;8;785.831,99
645;Bujari;AC;Bujari - AC;9;741.465,03
645;Bujari;AC;Bujari - AC;10;688.614,01
645;Bujari;AC;Bujari - AC;11;865.462,43
645;Bujari;AC;Bujari - AC;12;1.449.381,50
647;Capixaba;AC;Capixaba - AC;1;769.646,45
647;Capixaba;AC;Capixaba - AC;2;1.074.361,50
647;Capixaba;AC;Capixaba - AC;3;651.321,55
647;Capixaba;AC;Capixaba - AC;4;772.046,65
647;Capixaba;AC;Capixaba - AC;5;858.824,86
647;Capixaba;AC;Capixaba - AC;6;803.594,55
647;Capixaba;AC;Capixaba - AC;7;1.179.688,20
647;Capixaba;AC;Capixaba - AC;8;785.831,99
647;Capixaba;AC;Capixaba - AC;9;741.465,03
647;Capixaba;AC;Capixaba - AC;10;688.614,01
647;Capixaba;AC;Capixaba - AC;11;865.462,43
647;Capixaba;AC;Capixaba - AC;12;1.449.381,50
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;1;2.693.762,44
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;2;3.760.265,22
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;3;2.279.625,36
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;4;2.702.163,26
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;5;3.005.886,97
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;6;2.812.580,87
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;7;4.128.908,69
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;8;2.750.411,93
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;9;2.595.127,58
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;10;2.410.148,93
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;11;3.029.118,47
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;12;5.072.835,18
651;Epitaciolândia;AC;Epitaciolândia - AC;1;1.154.469,62
651;Epitaciolândia;AC;Epitaciolândia - AC;2;1.611.542,25
651;Epitaciolândia;AC;Epitaciolândia - AC;3;976.982,30
651;Epitaciolândia;AC;Epitaciolândia - AC;4;1.158.069,96
651;Epitaciolândia;AC;Epitaciolândia - AC;5;1.288.237,28
651;Epitaciolândia;AC;Epitaciolândia - AC;6;1.205.391,82
651;Epitaciolândia;AC;Epitaciolândia - AC;7;1.769.532,29
651;Epitaciolândia;AC;Epitaciolândia - AC;8;1.178.747,98
651;Epitaciolândia;AC;Epitaciolândia - AC;9;1.112.197,54
651;Epitaciolândia;AC;Epitaciolândia - AC;10;1.032.920,98
651;Epitaciolândia;AC;Epitaciolândia - AC;11;1.298.193,64
651;Epitaciolândia;AC;Epitaciolândia - AC;12;2.174.072,23
113;Feijó;AC;Feijó - AC;1;1.539.292,82
113;Feijó;AC;Feijó - AC;2;2.148.723,00
113;Feijó;AC;Feijó - AC;3;1.302.643,06
113;Feijó;AC;Feijó - AC;4;1.544.093,29
113;Feijó;AC;Feijó - AC;5;1.717.649,70
113;Feijó;AC;Feijó - AC;6;1.607.189,08
113;Feijó;AC;Feijó - AC;7;2.359.376,39
113;Feijó;AC;Feijó - AC;8;1.571.663,97
113;Feijó;AC;Feijó - AC;9;1.482.930,05
113;Feijó;AC;Feijó - AC;10;1.377.227,97
113;Feijó;AC;Feijó - AC;11;1.730.924,87
113;Feijó;AC;Feijó - AC;12;2.898.762,97
653;Jordão;AC;Jordão - AC;1;577.234,83
653;Jordão;AC;Jordão - AC;2;805.771,15
653;Jordão;AC;Jordão - AC;3;488.491,15
653;Jordão;AC;Jordão - AC;4;579.035,00
653;Jordão;AC;Jordão - AC;5;644.118,65
653;Jordão;AC;Jordão - AC;6;602.695,93
653;Jordão;AC;Jordão - AC;7;884.766,17
653;Jordão;AC;Jordão - AC;8;589.374,00
653;Jordão;AC;Jordão - AC;9;556.098,80
653;Jordão;AC;Jordão - AC;10;516.460,52
653;Jordão;AC;Jordão - AC;11;649.096,85
653;Jordão;AC;Jordão - AC;12;1.087.036,13
109;Mâncio Lima;AC;Mâncio Lima - AC;1;1.154.469,62
109;Mâncio Lima;AC;Mâncio Lima - AC;2;1.611.542,25
109;Mâncio Lima;AC;Mâncio Lima - AC;3;976.982,30
109;Mâncio Lima;AC;Mâncio Lima - AC;4;1.158.069,96
109;Mâncio Lima;AC;Mâncio Lima - AC;5;1.288.237,28
109;Mâncio Lima;AC;Mâncio Lima - AC;6;1.205.391,82
109;Mâncio Lima;AC;Mâncio Lima - AC;7;1.769.532,29
109;Mâncio Lima;AC;Mâncio Lima - AC;8;1.178.747,98
109;Mâncio Lima;AC;Mâncio Lima - AC;9;1.112.197,54
109;Mâncio Lima;AC;Mâncio Lima - AC;10;1.032.920,98
109;Mâncio Lima;AC;Mâncio Lima - AC;11;1.298.193,64
109;Mâncio Lima;AC;Mâncio Lima - AC;12;2.174.072,23
155;Manoel Urbano;AC;Manoel Urbano - AC;1;577.234,83
155;Manoel Urbano;AC;Manoel Urbano - AC;2;805.771,15
155;Manoel Urbano;AC;Manoel Urbano - AC;3;488.491,15
155;Manoel Urbano;AC;Manoel Urbano - AC;4;579.035,00
155;Manoel Urbano;AC;Manoel Urbano - AC;5;644.118,65
155;Manoel Urbano;AC;Manoel Urbano - AC;6;602.695,93
155;Manoel Urbano;AC;Manoel Urbano - AC;7;884.766,17
155;Manoel Urbano;AC;Manoel Urbano - AC;8;589.374,00
155;Manoel Urbano;AC;Manoel Urbano - AC;9;556.098,80
155;Manoel Urbano;AC;Manoel Urbano - AC;10;516.460,52
155;Manoel Urbano;AC;Manoel Urbano - AC;11;649.096,85
155;Manoel Urbano;AC;Manoel Urbano - AC;12;1.087.036,13
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;1;1.154.469,62
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;2;1.611.542,25
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;3;976.982,30
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;4;1.158.069,96
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;5;1.288.237,28
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;6;1.205.391,82
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;7;1.769.532,29
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;8;1.178.747,98
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;9;1.112.197,54
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;10;1.032.920,98
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;11;1.298.193,64
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;12;2.174.072,23
151;Plácido de Castro;AC;Plácido de Castro - AC;1;1.154.469,62
151;Plácido de Castro;AC;Plácido de Castro - AC;2;1.611.542,25
151;Plácido de Castro;AC;Plácido de Castro - AC;3;976.982,30
151;Plácido de Castro;AC;Plácido de Castro - AC;4;1.158.069,96
151;Plácido de Castro;AC;Plácido de Castro - AC;5;1.288.237,28
151;Plácido de Castro;AC;Plácido de Castro - AC;6;1.205.391,82
151;Plácido de Castro;AC;Plácido de Castro - AC;7;1.769.532,29
151;Plácido de Castro;AC;Plácido de Castro - AC;8;1.178.747,98
151;Plácido de Castro;AC;Plácido de Castro - AC;9;1.112.197,54
151;Plácido de Castro;AC;Plácido de Castro - AC;10;1.032.920,98
151;Plácido de Castro;AC;Plácido de Castro - AC;11;1.298.193,64
151;Plácido de Castro;AC;Plácido de Castro - AC;12;2.174.072,23
649;Porto Acre;AC;Porto Acre - AC;1;1.154.469,62
649;Porto Acre;AC;Porto Acre - AC;2;1.611.542,25
649;Porto Acre;AC;Porto Acre - AC;3;976.982,30
649;Porto Acre;AC;Porto Acre - AC;4;1.158.069,96
649;Porto Acre;AC;Porto Acre - AC;5;1.288.237,28
649;Porto Acre;AC;Porto Acre - AC;6;1.205.391,82
649;Porto Acre;AC;Porto Acre - AC;7;1.769.532,29
649;Porto Acre;AC;Porto Acre - AC;8;1.178.747,98
649;Porto Acre;AC;Porto Acre - AC;9;1.112.197,54
649;Porto Acre;AC;Porto Acre - AC;10;1.032.920,98
649;Porto Acre;AC;Porto Acre - AC;11;1.298.193,64
649;Porto Acre;AC;Porto Acre - AC;12;2.174.072,23
657;Porto Walter;AC;Porto Walter - AC;1;769.646,45
657;Porto Walter;AC;Porto Walter - AC;2;1.074.361,50
657;Porto Walter;AC;Porto Walter - AC;3;651.321,55
657;Porto Walter;AC;Porto Walter - AC;4;772.046,65
657;Porto Walter;AC;Porto Walter - AC;5;858.824,86
657;Porto Walter;AC;Porto Walter - AC;6;803.594,55
657;Porto Walter;AC;Porto Walter - AC;7;1.179.688,20
657;Porto Walter;AC;Porto Walter - AC;8;785.831,99
657;Porto Walter;AC;Porto Walter - AC;9;741.465,03
657;Porto Walter;AC;Porto Walter - AC;10;688.614,01
657;Porto Walter;AC;Porto Walter - AC;11;865.462,43
657;Porto Walter;AC;Porto Walter - AC;12;1.449.381,50
139;Rio Branco;AC;Rio Branco - AC;1;36.545.653,23
139;Rio Branco;AC;Rio Branco - AC;2;51.014.650,26
139;Rio Branco;AC;Rio Branco - AC;3;30.927.150,91
139;Rio Branco;AC;Rio Branco - AC;4;36.659.625,12
139;Rio Branco;AC;Rio Branco - AC;5;40.780.174,62
139;Rio Branco;AC;Rio Branco - AC;6;38.157.635,49
139;Rio Branco;AC;Rio Branco - AC;7;56.015.951,35
139;Rio Branco;AC;Rio Branco - AC;8;37.314.203,71
139;Rio Branco;AC;Rio Branco - AC;9;35.207.496,75
139;Rio Branco;AC;Rio Branco - AC;10;32.697.934,27
139;Rio Branco;AC;Rio Branco - AC;11;41.095.351,25
139;Rio Branco;AC;Rio Branco - AC;12;68.821.984,34
659;Rodrigues Alves;AC;Rodrigues Alves - AC;1;1.154.469,62
659;Rodrigues Alves;AC;Rodrigues Alves - AC;2;1.611.542,25
659;Rodrigues Alves;AC;Rodrigues Alves - AC;3;976.982,30
659;Rodrigues Alves;AC;Rodrigues Alves - AC;4;1.158.069,96
659;Rodrigues Alves;AC;Rodrigues Alves - AC;5;1.288.237,28
659;Rodrigues Alves;AC;Rodrigues Alves - AC;6;1.205.391,82
659;Rodrigues Alves;AC;Rodrigues Alves - AC;7;1.769.532,29
659;Rodrigues Alves;AC;Rodrigues Alves - AC;8;1.178.747,98
659;Rodrigues Alves;AC;Rodrigues Alves - AC;9;1.112.197,54
659;Rodrigues Alves;AC;Rodrigues Alves - AC;10;1.032.920,98
659;Rodrigues Alves;AC;Rodrigues Alves - AC;11;1.298.193,64
659;Rodrigues Alves;AC;Rodrigues Alves - AC;12;2.174.072,23
661;Santa Rosa do Purus;AC;Santa Rosa do Purus - AC;1;577.234,93
661;Santa Rosa do Purus;AC;Santa Rosa do Purus - AC;2;805.771,15
661;Santa Rosa do Purus;AC;Santa Rosa do Purus - AC;3;488.491,21
661;Santa Rosa do Purus;AC;Santa Rosa do Purus - AC;4;579.035,03
661;Santa Rosa do Purus;AC;Santa Rosa do Purus - AC;5;644.118,59
661;Santa Rosa do Purus;AC;Santa Rosa do Purus - AC;6;602.695,89
661;Santa Rosa do Purus;AC;Santa Rosa do Purus - AC;7;884.766,32
661;Santa Rosa do Purus;AC;Santa Rosa do Purus - AC;8;589.374,05
661;Santa Rosa do Purus;AC;Santa Rosa do Purus - AC;9;556.098,80
661;Santa Rosa do Purus;AC;Santa Rosa do Purus - AC;10;516.460,49
661;Santa Rosa do Purus;AC;Santa Rosa do Purus - AC;11;649.096,84
661;Santa Rosa do Purus;AC;Santa Rosa do Purus - AC;12;1.087.036,13
145;Sena Madureira;AC;Sena Madureira - AC;1;1.924.116,03
145;Sena Madureira;AC;Sena Madureira - AC;2;2.685.903,72
145;Sena Madureira;AC;Sena Madureira - AC;3;1.628.303,83
145;Sena Madureira;AC;Sena Madureira - AC;4;1.930.116,61
145;Sena Madureira;AC;Sena Madureira - AC;5;2.147.062,12
145;Sena Madureira;AC;Sena Madureira - AC;6;2.008.986,34
145;Sena Madureira;AC;Sena Madureira - AC;7;2.949.220,50
145;Sena Madureira;AC;Sena Madureira - AC;8;1.964.579,94
145;Sena Madureira;AC;Sena Madureira - AC;9;1.853.662,55
145;Sena Madureira;AC;Sena Madureira - AC;10;1.721.534,96
145;Sena Madureira;AC;Sena Madureira - AC;11;2.163.656,06
145;Sena Madureira;AC;Sena Madureira - AC;12;3.623.453,72
153;Senador Guiomard;AC;Senador Guiomard - AC;1;1.154.469,62
153;Senador Guiomard;AC;Senador Guiomard - AC;2;1.611.542,25
153;Senador Guiomard;AC;Senador Guiomard - AC;3;976.982,30
153;Senador Guiomard;AC;Senador Guiomard - AC;4;1.158.069,96
153;Senador Guiomard;AC;Senador Guiomard - AC;5;1.288.237,28
153;Senador Guiomard;AC;Senador Guiomard - AC;6;1.205.391,82
153;Senador Guiomard;AC;Senador Guiomard - AC;7;1.769.532,29
153;Senador Guiomard;AC;Senador Guiomard - AC;8;1.178.747,98
153;Senador Guiomard;AC;Senador Guiomard - AC;9;1.112.197,54
153;Senador Guiomard;AC;Senador Guiomard - AC;10;1.032.920,98
153;Senador Guiomard;AC;Senador Guiomard - AC;11;1.298.193,64
153;Senador Guiomard;AC;Senador Guiomard - AC;12;2.174.072,23
147;Tarauacá;AC;Tarauacá - AC;1;1.731.704,43
147;Tarauacá;AC;Tarauacá - AC;2;2.417.313,36
147;Tarauacá;AC;Tarauacá - AC;3;1.465.473,45
147;Tarauacá;AC;Tarauacá - AC;4;1.737.104,97
147;Tarauacá;AC;Tarauacá - AC;5;1.932.355,90
147;Tarauacá;AC;Tarauacá - AC;6;1.808.087,73
147;Tarauacá;AC;Tarauacá - AC;7;2.654.298,46
147;Tarauacá;AC;Tarauacá - AC;8;1.768.121,94
147;Tarauacá;AC;Tarauacá - AC;9;1.668.296,31
147;Tarauacá;AC;Tarauacá - AC;10;1.549.381,47
147;Tarauacá;AC;Tarauacá - AC;11;1.947.290,47
147;Tarauacá;AC;Tarauacá - AC;12;3.261.108,34
149;Xapuri;AC;Xapuri - AC;1;1.154.469,62
149;Xapuri;AC;Xapuri - AC;2;1.611.542,25
149;Xapuri;AC;Xapuri - AC;3;976.982,30
149;Xapuri;AC;Xapuri - AC;4;1.158.069,96
149;Xapuri;AC;Xapuri - AC;5;1.288.237,28
149;Xapuri;AC;Xapuri - AC;6;1.205.391,82
149;Xapuri;AC;Xapuri - AC;7;1.769.532,29
149;Xapuri;AC;Xapuri - AC;8;1.178.747,98
149;Xapuri;AC;Xapuri - AC;9;1.112.197,54
149;Xapuri;AC;Xapuri - AC;10;1.032.920,98
149;Xapuri;AC;Xapuri - AC;11;1.298.193,64
149;Xapuri;AC;Xapuri - AC;12;2.174.072,23
2701;Água Branca;AL;Água Branca - AL;1;1.935.565,87
2701;Água Branca;AL;Água Branca - AL;2;2.701.886,73
2701;Água Branca;AL;Água Branca - AL;3;1.637.993,39
2701;Água Branca;AL;Água Branca - AL;4;1.941.602,18
2701;Água Branca;AL;Água Branca - AL;5;2.159.838,66
2701;Água Branca;AL;Água Branca - AL;6;2.020.941,22
2701;Água Branca;AL;Água Branca - AL;7;2.966.770,41
2701;Água Branca;AL;Água Branca - AL;8;1.976.270,57
2701;Água Branca;AL;Água Branca - AL;9;1.864.693,15
2701;Água Branca;AL;Água Branca - AL;10;1.731.779,30
2701;Água Branca;AL;Água Branca - AL;11;2.176.531,33
2701;Água Branca;AL;Água Branca - AL;12;3.645.015,78
2703;Anadia;AL;Anadia - AL;1;1.935.565,87
2703;Anadia;AL;Anadia - AL;2;2.701.886,73
2703;Anadia;AL;Anadia - AL;3;1.637.993,39
2703;Anadia;AL;Anadia - AL;4;1.941.602,18
2703;Anadia;AL;Anadia - AL;5;2.159.838,66
2703;Anadia;AL;Anadia - AL;6;2.020.941,22
2703;Anadia;AL;Anadia - AL;7;2.966.770,41
2703;Anadia;AL;Anadia - AL;8;1.976.270,57
2703;Anadia;AL;Anadia - AL;9;1.864.693,15
2703;Anadia;AL;Anadia - AL;10;1.731.779,30
2703;Anadia;AL;Anadia - AL;11;2.176.531,33
2703;Anadia;AL;Anadia - AL;12;3.645.015,78
2705;Arapiraca;AL;Arapiraca - AL;1;10.369.061,76
2705;Arapiraca;AL;Arapiraca - AL;2;14.474.335,88
2705;Arapiraca;AL;Arapiraca - AL;3;8.774.929,72
2705;Arapiraca;AL;Arapiraca - AL;4;10.401.398,90
2705;Arapiraca;AL;Arapiraca - AL;5;11.570.518,30
2705;Arapiraca;AL;Arapiraca - AL;6;10.826.427,89
2705;Arapiraca;AL;Arapiraca - AL;7;15.893.350,02
2705;Arapiraca;AL;Arapiraca - AL;8;10.579.789,28
2705;Arapiraca;AL;Arapiraca - AL;9;9.962.425,76
2705;Arapiraca;AL;Arapiraca - AL;10;9.252.311,94
2705;Arapiraca;AL;Arapiraca - AL;11;11.628.471,87
2705;Arapiraca;AL;Arapiraca - AL;12;19.474.088,54
2707;Atalaia;AL;Atalaia - AL;1;3.225.943,11
2707;Atalaia;AL;Atalaia - AL;2;4.503.144,55
2707;Atalaia;AL;Atalaia - AL;3;2.729.988,94
2707;Atalaia;AL;Atalaia - AL;4;3.236.003,59
2707;Atalaia;AL;Atalaia - AL;5;3.599.731,06
2707;Atalaia;AL;Atalaia - AL;6;3.368.235,35
2707;Atalaia;AL;Atalaia - AL;7;4.944.617,35
2707;Atalaia;AL;Atalaia - AL;8;3.293.784,28
2707;Atalaia;AL;Atalaia - AL;9;3.107.821,90
2707;Atalaia;AL;Atalaia - AL;10;2.886.298,81
2707;Atalaia;AL;Atalaia - AL;11;3.627.552,20
2707;Atalaia;AL;Atalaia - AL;12;6.075.026,30
2709;Barra de Santo Antônio;AL;Barra de Santo Antônio - AL;1;1.612.971,56
2709;Barra de Santo Antônio;AL;Barra de Santo Antônio - AL;2;2.251.572,27
2709;Barra de Santo Antônio;AL;Barra de Santo Antônio - AL;3;1.364.994,47
2709;Barra de Santo Antônio;AL;Barra de Santo Antônio - AL;4;1.618.001,81
2709;Barra de Santo Antônio;AL;Barra de Santo Antônio - AL;5;1.799.865,54
2709;Barra de Santo Antônio;AL;Barra de Santo Antônio - AL;6;1.684.117,69
2709;Barra de Santo Antônio;AL;Barra de Santo Antônio - AL;7;2.472.308,70
2709;Barra de Santo Antônio;AL;Barra de Santo Antônio - AL;8;1.646.892,14
2709;Barra de Santo Antônio;AL;Barra de Santo Antônio - AL;9;1.553.910,98
2709;Barra de Santo Antônio;AL;Barra de Santo Antônio - AL;10;1.443.149,42
2709;Barra de Santo Antônio;AL;Barra de Santo Antônio - AL;11;1.813.776,11
2709;Barra de Santo Antônio;AL;Barra de Santo Antônio - AL;12;3.037.513,17
2711;Barra de São Miguel;AL;Barra de São Miguel - AL;1;967.782,95
2711;Barra de São Miguel;AL;Barra de São Miguel - AL;2;1.350.943,38
2711;Barra de São Miguel;AL;Barra de São Miguel - AL;3;818.996,69
2711;Barra de São Miguel;AL;Barra de São Miguel - AL;4;970.801,10
2711;Barra de São Miguel;AL;Barra de São Miguel - AL;5;1.079.919,33
2711;Barra de São Miguel;AL;Barra de São Miguel - AL;6;1.010.470,63
2711;Barra de São Miguel;AL;Barra de São Miguel - AL;7;1.483.385,22
2711;Barra de São Miguel;AL;Barra de São Miguel - AL;8;988.135,29
2711;Barra de São Miguel;AL;Barra de São Miguel - AL;9;932.346,57
2711;Barra de São Miguel;AL;Barra de São Miguel - AL;10;865.889,65
2711;Barra de São Miguel;AL;Barra de São Miguel - AL;11;1.088.265,69
2711;Barra de São Miguel;AL;Barra de São Miguel - AL;12;1.822.507,92
2713;Batalha;AL;Batalha - AL;1;1.935.565,87
2713;Batalha;AL;Batalha - AL;2;2.701.886,73
2713;Batalha;AL;Batalha - AL;3;1.637.993,39
2713;Batalha;AL;Batalha - AL;4;1.941.602,18
2713;Batalha;AL;Batalha - AL;5;2.159.838,66
2713;Batalha;AL;Batalha - AL;6;2.020.941,22
2713;Batalha;AL;Batalha - AL;7;2.966.770,41
2713;Batalha;AL;Batalha - AL;8;1.976.270,57
2713;Batalha;AL;Batalha - AL;9;1.864.693,15
2713;Batalha;AL;Batalha - AL;10;1.731.779,30
2713;Batalha;AL;Batalha - AL;11;2.176.531,33
2713;Batalha;AL;Batalha - AL;12;3.645.015,78
2715;Belém;AL;Belém - AL;1;967.782,95
2715;Belém;AL;Belém - AL;2;1.350.943,38
2715;Belém;AL;Belém - AL;3;818.996,69
2715;Belém;AL;Belém - AL;4;970.801,10
2715;Belém;AL;Belém - AL;5;1.079.919,33
2715;Belém;AL;Belém - AL;6;1.010.470,63
2715;Belém;AL;Belém - AL;7;1.483.385,22
2715;Belém;AL;Belém - AL;8;988.135,29
2715;Belém;AL;Belém - AL;9;932.346,57
2715;Belém;AL;Belém - AL;10;865.889,65
2715;Belém;AL;Belém - AL;11;1.088.265,69
2715;Belém;AL;Belém - AL;12;1.822.507,92
2717;Belo Monte;AL;Belo Monte - AL;1;967.782,95
2717;Belo Monte;AL;Belo Monte - AL;2;1.350.943,38
2717;Belo Monte;AL;Belo Monte - AL;3;818.996,69
2717;Belo Monte;AL;Belo Monte - AL;4;970.801,10
2717;Belo Monte;AL;Belo Monte - AL;5;1.079.919,33
2717;Belo Monte;AL;Belo Monte - AL;6;1.010.470,63
2717;Belo Monte;AL;Belo Monte - AL;7;1.483.385,22
2717;Belo Monte;AL;Belo Monte - AL;8;988.135,29
2717;Belo Monte;AL;Belo Monte - AL;9;932.346,57
2717;Belo Monte;AL;Belo Monte - AL;10;865.889,65
2717;Belo Monte;AL;Belo Monte - AL;11;1.088.265,69
2717;Belo Monte;AL;Belo Monte - AL;12;1.822.507,92
2719;Boca da Mata;AL;Boca da Mata - AL;1;2.258.160,17
2719;Boca da Mata;AL;Boca da Mata - AL;2;3.152.201,18
2719;Boca da Mata;AL;Boca da Mata - AL;3;1.910.992,27
2719;Boca da Mata;AL;Boca da Mata - AL;4;2.265.202,51
2719;Boca da Mata;AL;Boca da Mata - AL;5;2.519.811,74
2719;Boca da Mata;AL;Boca da Mata - AL;6;2.357.764,74
2719;Boca da Mata;AL;Boca da Mata - AL;7;3.461.232,14
2719;Boca da Mata;AL;Boca da Mata - AL;8;2.305.649,00
2719;Boca da Mata;AL;Boca da Mata - AL;9;2.175.475,34
2719;Boca da Mata;AL;Boca da Mata - AL;10;2.020.409,19
2719;Boca da Mata;AL;Boca da Mata - AL;11;2.539.286,54
2719;Boca da Mata;AL;Boca da Mata - AL;12;4.252.518,43
2721;Branquinha;AL;Branquinha - AL;1;1.290.377,25
2721;Branquinha;AL;Branquinha - AL;2;1.801.257,84
2721;Branquinha;AL;Branquinha - AL;3;1.091.995,59
2721;Branquinha;AL;Branquinha - AL;4;1.294.401,44
2721;Branquinha;AL;Branquinha - AL;5;1.439.892,43
2721;Branquinha;AL;Branquinha - AL;6;1.347.294,14
2721;Branquinha;AL;Branquinha - AL;7;1.977.846,95
2721;Branquinha;AL;Branquinha - AL;8;1.317.513,72
2721;Branquinha;AL;Branquinha - AL;9;1.243.128,77
2721;Branquinha;AL;Branquinha - AL;10;1.154.519,53
2721;Branquinha;AL;Branquinha - AL;11;1.451.020,90
2721;Branquinha;AL;Branquinha - AL;12;2.430.010,53
2723;Cacimbinhas;AL;Cacimbinhas - AL;1;1.290.377,25
2723;Cacimbinhas;AL;Cacimbinhas - AL;2;1.801.257,84
2723;Cacimbinhas;AL;Cacimbinhas - AL;3;1.091.995,59
2723;Cacimbinhas;AL;Cacimbinhas - AL;4;1.294.401,44
2723;Cacimbinhas;AL;Cacimbinhas - AL;5;1.439.892,43
2723;Cacimbinhas;AL;Cacimbinhas - AL;6;1.347.294,14
2723;Cacimbinhas;AL;Cacimbinhas - AL;7;1.977.846,95
2723;Cacimbinhas;AL;Cacimbinhas - AL;8;1.317.513,72
2723;Cacimbinhas;AL;Cacimbinhas - AL;9;1.243.128,77
2723;Cacimbinhas;AL;Cacimbinhas - AL;10;1.154.519,53
2723;Cacimbinhas;AL;Cacimbinhas - AL;11;1.451.020,90
2723;Cacimbinhas;AL;Cacimbinhas - AL;12;2.430.010,53
2725;Cajueiro;AL;Cajueiro - AL;1;1.935.565,87
2725;Cajueiro;AL;Cajueiro - AL;2;2.701.886,73
2725;Cajueiro;AL;Cajueiro - AL;3;1.637.993,39
2725;Cajueiro;AL;Cajueiro - AL;4;1.941.602,18
2725;Cajueiro;AL;Cajueiro - AL;5;2.159.838,66
2725;Cajueiro;AL;Cajueiro - AL;6;2.020.941,22
2725;Cajueiro;AL;Cajueiro - AL;7;2.966.770,41
2725;Cajueiro;AL;Cajueiro - AL;8;1.976.270,57
2725;Cajueiro;AL;Cajueiro - AL;9;1.864.693,15
2725;Cajueiro;AL;Cajueiro - AL;10;1.731.779,30
2725;Cajueiro;AL;Cajueiro - AL;11;2.176.531,33
2725;Cajueiro;AL;Cajueiro - AL;12;3.645.015,78
