,data_base,modalidade,porte,valor_deflacionado
67,2012-07-01,Cartão de crédito,Mais de 1 a 2 salários mínimos,185282310.28794253
68,2012-07-01,Cartão de crédito,Mais de 2 a 3 salários mínimos,181049380.88861144
69,2012-07-01,Cartão de crédito,Mais de 3 a 5 salários mínimos,255519176.29731405
70,2012-07-01,Cartão de crédito,Mais de 5 a 10 salários mínimos,399403878.5571156
71,2012-07-01,Cartão de crédito,Sem rendimento,274125431.5017612
72,2012-07-01,Empréstimo com consignação em folha,Acima de 20 salários mínimos,25546058663.769497
73,2012-07-01,Empréstimo com consignação em folha,Até 1 salário mínimo,27863497366.527596
74,2012-07-01,Empréstimo com consignação em folha,Indisponível,367083585.0465719
75,2012-07-01,Empréstimo com consignação em folha,Mais de 10 a 20 salários mínimos,27320005160.63514
76,2012-07-01,Empréstimo com consignação em folha,Mais de 1 a 2 salários mínimos,25879266459.63192
77,2012-07-01,Empréstimo com consignação em folha,Mais de 2 a 3 salários mínimos,20395542934.632984
78,2012-07-01,Empréstimo com consignação em folha,Mais de 3 a 5 salários mínimos,34273461179.598534
79,2012-07-01,Empréstimo com consignação em folha,Mais de 5 a 10 salários mínimos,40741790744.5428
80,2012-07-01,Empréstimo com consignação em folha,Sem rendimento,23043672681.777493
81,2012-07-01,Empréstimo sem consignação em folha,Acima de 20 salários mínimos,16325979857.390219
82,2012-07-01,Empréstimo sem consignação em folha,Até 1 salário mínimo,4729453342.730729
83,2012-07-01,Empréstimo sem consignação em folha,Indisponível,6154051.14240984
84,2012-07-01,Empréstimo sem consignação em folha,Mais de 10 a 20 salários mínimos,14326195337.641365
85,2012-07-01,Empréstimo sem consignação em folha,Mais de 1 a 2 salários mínimos,4640719845.792553
86,2012-07-01,Empréstimo sem consignação em folha,Mais de 2 a 3 salários mínimos,4627769764.504933
87,2012-07-01,Empréstimo sem consignação em folha,Mais de 3 a 5 salários mínimos,8745255595.532377
88,2012-07-01,Empréstimo sem consignação em folha,Mais de 5 a 10 salários mínimos,16203559988.251877
