,data_base,modalidade,numero_de_operacoes
673,2020-06,Empréstimo com consignação em folha,52603098
674,2020-06,Empréstimo sem consignação em folha,24892725
675,2020-06,Habitacional,6668364
676,2020-06,Outros créditos,44120641
677,2020-06,Rural e agroindustrial,3476332
678,2020-06,Veículos,10370543
679,2020-07,Cartão de crédito,233557495
680,2020-07,Empréstimo com consignação em folha,52155776
681,2020-07,Empréstimo sem consignação em folha,24119280
682,2020-07,Habitacional,6667403
683,2020-07,Outros créditos,43915981
684,2020-07,Rural e agroindustrial,3456726
685,2020-07,Veículos,10378240
686,2020-08,Cartão de crédito,236534678
687,2020-08,Empréstimo com consignação em folha,52036131
688,2020-08,Empréstimo sem consignação em folha,24168168
689,2020-08,Habitacional,6704260
690,2020-08,Outros créditos,43886930
691,2020-08,Rural e agroindustrial,3500699
692,2020-08,Veículos,10421633
693,2020-09,Cartão de crédito,238909484
694,2020-09,Empréstimo com consignação em folha,51884468
695,2020-09,Empréstimo sem consignação em folha,24074283
696,2020-09,Habitacional,6727556
697,2020-09,Outros créditos,43597189
698,2020-09,Rural e agroindustrial,3529552
699,2020-09,Veículos,10482139
700,2020-10,Cartão de crédito,243536726
701,2020-10,Empréstimo com consignação em folha,53446610
702,2020-10,Empréstimo sem consignação em folha,24484514
703,2020-10,Habitacional,6758499
704,2020-10,Outros créditos,43332054
705,2020-10,Rural e agroindustrial,3556252
706,2020-10,Veículos,10561533
707,2020-11,Cartão de crédito,248011955
708,2020-11,Empréstimo com consignação em folha,54344035
709,2020-11,Empréstimo sem consignação em folha,24569751
710,2020-11,Habitacional,6794498
711,2020-11,Outros créditos,42982418
712,2020-11,Rural e agroindustrial,3546833
713,2020-11,Veículos,10652570
714,2020-12,Cartão de crédito,256661893
715,2020-12,Empréstimo com consignação em folha,54400380
716,2020-12,Empréstimo sem consignação em folha,23553649
717,2020-12,Habitacional,6830105
718,2020-12,Outros créditos,41586383
719,2020-12,Rural e agroindustrial,3565702
720,2020-12,Veículos,10720764
721,2021-01,Cartão de crédito,258089812
722,2021-01,Empréstimo com consignação em folha,54199971
723,2021-01,Empréstimo sem consignação em folha,24464491
724,2021-01,Habitacional,6850050
725,2021-01,Outros créditos,42337087
726,2021-01,Rural e agroindustrial,3561034
727,2021-01,Veículos,10745974
728,2021-02,Cartão de crédito,259382361
729,2021-02,Empréstimo com consignação em folha,54130336
730,2021-02,Empréstimo sem consignação em folha,25499378
731,2021-02,Habitacional,6879670
732,2021-02,Outros créditos,42337533
733,2021-02,Rural e agroindustrial,3557818
734,2021-02,Veículos,10786871
735,2021-03,Cartão de crédito,261717009
736,2021-03,Empréstimo com consignação em folha,54069324
737,2021-03,Empréstimo sem consignação em folha,26663038
738,2021-03,Habitacional,6916513
739,2021-03,Outros créditos,42382846
740,2021-03,Rural e agroindustrial,3557990
741,2021-03,Veículos,10766247
742,2021-04,Cartão de crédito,266668915
743,2021-04,Empréstimo com consignação em folha,55936713
744,2021-04,Empréstimo sem consignação em folha,27555802
745,2021-04,Habitacional,6947914
746,2021-04,Outros créditos,42411769
747,2021-04,Rural e agroindustrial,3529660
748,2021-04,Veículos,10770386
749,2021-05,Cartão de crédito,277258833
750,2021-05,Empréstimo com consignação em folha,56436615
751,2021-05,Empréstimo sem consignação em folha,28432250
752,2021-05,Habitacional,6985729
753,2021-05,Outros créditos,42795103
754,2021-05,Rural e agroindustrial,3488466
755,2021-05,Veículos,10756107
756,2021-06,Cartão de crédito,282028622
757,2021-06,Empréstimo com consignação em folha,56627045
758,2021-06,Empréstimo sem consignação em folha,29235503
759,2021-06,Habitacional,7020465
760,2021-06,Outros créditos,42463310
761,2021-06,Rural e agroindustrial,3458030
762,2021-06,Veículos,10702287
763,2021-07,Cartão de crédito,293986782
764,2021-07,Empréstimo com consignação em folha,56589844
765,2021-07,Empréstimo sem consignação em folha,30409100
766,2021-07,Habitacional,7051734
767,2021-07,Outros créditos,42792132
768,2021-07,Rural e agroindustrial,3444285
769,2021-07,Veículos,10641654
770,2021-08,Cartão de crédito,302732600
771,2021-08,Empréstimo com consignação em folha,56557386
772,2021-08,Empréstimo sem consignação em folha,32351752
773,2021-08,Habitacional,7094852
774,2021-08,Outros créditos,44209976
775,2021-08,Rural e agroindustrial,3497857
776,2021-08,Veículos,10654050
777,2021-09,Cartão de crédito,308823287
778,2021-09,Empréstimo com consignação em folha,56524781
779,2021-09,Empréstimo sem consignação em folha,34734919
780,2021-09,Habitacional,7134557
781,2021-09,Outros créditos,47302406
782,2021-09,Rural e agroindustrial,3542650
783,2021-09,Veículos,10668817
784,2021-10,Cartão de crédito,343836975
785,2021-10,Empréstimo com consignação em folha,56388526
786,2021-10,Empréstimo sem consignação em folha,36905573
787,2021-10,Habitacional,7160149
788,2021-10,Outros créditos,47837659
789,2021-10,Rural e agroindustrial,3572812
790,2021-10,Veículos,10674088
791,2021-11,Cartão de crédito,349263881
792,2021-11,Empréstimo com consignação em folha,56405695
793,2021-11,Empréstimo sem consignação em folha,38919197
794,2021-11,Habitacional,7189876
795,2021-11,Outros créditos,46585860
796,2021-11,Rural e agroindustrial,3582706
797,2021-11,Veículos,10623818
798,2021-12,Cartão de crédito,357991553
799,2021-12,Empréstimo com consignação em folha,56440165
800,2021-12,Empréstimo sem consignação em folha,39576207
801,2021-12,Habitacional,7228898
802,2021-12,Outros créditos,45086751
803,2021-12,Rural e agroindustrial,3599334
804,2021-12,Veículos,10591056
805,2022-01,Cartão de crédito,375847802
806,2022-01,Empréstimo com consignação em folha,56216927
807,2022-01,Empréstimo sem consignação em folha,42750833
808,2022-01,Habitacional,7251013
809,2022-01,Outros créditos,46464483
810,2022-01,Rural e agroindustrial,3589836
811,2022-01,Veículos,10568984
812,2022-02,Cartão de crédito,317907358
813,2022-02,Empréstimo com consignação em folha,56119020
814,2022-02,Empréstimo sem consignação em folha,45416403
815,2022-02,Habitacional,7273608
816,2022-02,Outros créditos,46737718
817,2022-02,Rural e agroindustrial,3569957
818,2022-02,Veículos,10547860
819,2022-03,Cartão de crédito,319945661
820,2022-03,Empréstimo com consignação em folha,56909711
821,2022-03,Empréstimo sem consignação em folha,48324875
822,2022-03,Habitacional,7296060
823,2022-03,Outros créditos,48669280
824,2022-03,Rural e agroindustrial,3550192
825,2022-03,Veículos,10508745
826,2022-04,Cartão de crédito,324604382
827,2022-04,Empréstimo com consignação em folha,58586498
828,2022-04,Empréstimo sem consignação em folha,50063243
829,2022-04,Habitacional,7324623
830,2022-04,Outros créditos,49678902
831,2022-04,Rural e agroindustrial,3511117
832,2022-04,Veículos,10447720
833,2022-05,Cartão de crédito,327084466
834,2022-05,Empréstimo com consignação em folha,59154105
835,2022-05,Empréstimo sem consignação em folha,51390154
836,2022-05,Habitacional,7357574
837,2022-05,Outros créditos,50607114
838,2022-05,Rural e agroindustrial,3468645
839,2022-05,Veículos,10413405
840,2022-06,Cartão de crédito,330170951
841,2022-06,Empréstimo com consignação em folha,59442630
842,2022-06,Empréstimo sem consignação em folha,52543645
843,2022-06,Habitacional,7397888
844,2022-06,Outros créditos,51684566
845,2022-06,Rural e agroindustrial,3441019
846,2022-06,Veículos,10368491
847,2022-07,Cartão de crédito,330911553
848,2022-07,Empréstimo com consignação em folha,59639996
849,2022-07,Empréstimo sem consignação em folha,54351286
850,2022-07,Habitacional,7438868
851,2022-07,Outros créditos,52731679
852,2022-07,Rural e agroindustrial,3402026
853,2022-07,Veículos,10301296
854,2022-08,Cartão de crédito,331595161
855,2022-08,Empréstimo com consignação em folha,60116798
856,2022-08,Empréstimo sem consignação em folha,57122934
857,2022-08,Habitacional,7476166
858,2022-08,Outros créditos,54194171
859,2022-08,Rural e agroindustrial,3487405
860,2022-08,Veículos,10281214
861,2022-09,Cartão de crédito,335831237
862,2022-09,Empréstimo com consignação em folha,60639330
863,2022-09,Empréstimo sem consignação em folha,59217067
864,2022-09,Habitacional,7515531
865,2022-09,Outros créditos,54563315
866,2022-09,Rural e agroindustrial,3540413
867,2022-09,Veículos,10244659
868,2022-10,Cartão de crédito,338606738
869,2022-10,Empréstimo com consignação em folha,63583220
870,2022-10,Empréstimo sem consignação em folha,61361590
871,2022-10,Habitacional,7550503
872,2022-10,Outros créditos,55177141
873,2022-10,Rural e agroindustrial,3551411
874,2022-10,Veículos,10221030
875,2022-11,Cartão de crédito,341081321
876,2022-11,Empréstimo com consignação em folha,64944150
877,2022-11,Empréstimo sem consignação em folha,63188567
878,2022-11,Habitacional,7583925
879,2022-11,Outros créditos,55220670
880,2022-11,Rural e agroindustrial,3547728
881,2022-11,Veículos,10217790
882,2022-12,Cartão de crédito,342279943
883,2022-12,Empréstimo com consignação em folha,64961252
884,2022-12,Empréstimo sem consignação em folha,63376255
885,2022-12,Habitacional,7620305
886,2022-12,Outros créditos,53669454
887,2022-12,Rural e agroindustrial,3547124
888,2022-12,Veículos,10171973
889,2023-01,Cartão de crédito,346642992
890,2023-01,Empréstimo com consignação em folha,67566974
891,2023-01,Empréstimo sem consignação em folha,66586340
892,2023-01,Habitacional,7645048
893,2023-01,Outros créditos,55752884
894,2023-01,Rural e agroindustrial,3522505
895,2023-01,Veículos,10172912
896,2023-02,Cartão de crédito,348069387
897,2023-02,Empréstimo com consignação em folha,68487456
898,2023-02,Empréstimo sem consignação em folha,69208200
899,2023-02,Habitacional,7666672
900,2023-02,Outros créditos,55551045
901,2023-02,Rural e agroindustrial,3510350
902,2023-02,Veículos,10142741
903,2023-03,Cartão de crédito,350533325
904,2023-03,Empréstimo com consignação em folha,68844918
905,2023-03,Empréstimo sem consignação em folha,72746810
906,2023-03,Habitacional,7698155
907,2023-03,Outros créditos,56399139
908,2023-03,Rural e agroindustrial,3499442
909,2023-03,Veículos,10155079
910,2023-04,Cartão de crédito,352053187
911,2023-04,Empréstimo com consignação em folha,69409571
912,2023-04,Empréstimo sem consignação em folha,75330386
913,2023-04,Habitacional,7728404
914,2023-04,Outros créditos,55161483
915,2023-04,Rural e agroindustrial,3460028
916,2023-04,Veículos,10158676
917,2023-05,Cartão de crédito,358716223
918,2023-05,Empréstimo com consignação em folha,69677905
919,2023-05,Empréstimo sem consignação em folha,78519438
920,2023-05,Habitacional,7759270
921,2023-05,Outros créditos,55117535
922,2023-05,Rural e agroindustrial,3404800
923,2023-05,Veículos,10171897
924,2023-06,Cartão de crédito,360263786
925,2023-06,Empréstimo com consignação em folha,68773445
926,2023-06,Empréstimo sem consignação em folha,73307010
927,2023-06,Habitacional,7790915
928,2023-06,Outros créditos,53609843
929,2023-06,Rural e agroindustrial,3358977
930,2023-06,Veículos,10175343
931,2023-07,Cartão de crédito,364527523
932,2023-07,Empréstimo com consignação em folha,67837738
933,2023-07,Empréstimo sem consignação em folha,75394244
934,2023-07,Habitacional,7821968
935,2023-07,Outros créditos,52607190
936,2023-07,Rural e agroindustrial,3331510
937,2023-07,Veículos,10163540
938,2023-08,Cartão de crédito,368198169
939,2023-08,Empréstimo com consignação em folha,68732019
940,2023-08,Empréstimo sem consignação em folha,79399749
941,2023-08,Habitacional,7823679
942,2023-08,Outros créditos,52396083
943,2023-08,Rural e agroindustrial,3405732
944,2023-08,Veículos,10202556
