,data_base,modalidade,numero_de_operacoes
134,2014-01,Empréstimo com consignação em folha,39622497
135,2014-01,Empréstimo sem consignação em folha,23565785
136,2014-01,Habitacional,3926741
137,2014-01,Outros créditos,32400740
138,2014-01,Rural e agroindustrial,3444182
139,2014-01,Veículos,13962024
140,2014-02,Cartão de crédito,125355492
141,2014-02,Empréstimo com consignação em folha,40250454
142,2014-02,Empréstimo sem consignação em folha,23881674
143,2014-02,Habitacional,3969048
144,2014-02,Outros créditos,32687707
145,2014-02,Rural e agroindustrial,3457580
146,2014-02,Veículos,14044984
147,2014-03,Cartão de crédito,125490803
148,2014-03,Empréstimo com consignação em folha,40415554
149,2014-03,Empréstimo sem consignação em folha,24357121
150,2014-03,Habitacional,4009160
151,2014-03,Outros créditos,33171266
152,2014-03,Rural e agroindustrial,3448722
153,2014-03,Veículos,13944503
154,2014-04,Cartão de crédito,124131705
155,2014-04,Empréstimo com consignação em folha,40614587
156,2014-04,Empréstimo sem consignação em folha,24835829
157,2014-04,Habitacional,4054698
158,2014-04,Outros créditos,33388533
159,2014-04,Rural e agroindustrial,3493014
160,2014-04,Veículos,13880918
161,2014-05,Cartão de crédito,125723020
162,2014-05,Empréstimo com consignação em folha,40928642
163,2014-05,Empréstimo sem consignação em folha,25210766
164,2014-05,Habitacional,4108124
165,2014-05,Outros créditos,33592428
166,2014-05,Rural e agroindustrial,3510958
167,2014-05,Veículos,13795483
168,2014-06,Cartão de crédito,127494472
169,2014-06,Empréstimo com consignação em folha,41132837
170,2014-06,Empréstimo sem consignação em folha,25291649
171,2014-06,Habitacional,4166620
172,2014-06,Outros créditos,32516518
173,2014-06,Rural e agroindustrial,3504977
174,2014-06,Veículos,13702283
175,2014-07,Cartão de crédito,127157657
176,2014-07,Empréstimo com consignação em folha,41653297
177,2014-07,Empréstimo sem consignação em folha,25124333
178,2014-07,Habitacional,4217689
179,2014-07,Outros créditos,32118421
180,2014-07,Rural e agroindustrial,3453068
181,2014-07,Veículos,13597362
182,2014-08,Cartão de crédito,120526833
183,2014-08,Empréstimo com consignação em folha,41651247
184,2014-08,Empréstimo sem consignação em folha,25190739
185,2014-08,Habitacional,4274588
186,2014-08,Outros créditos,32234796
187,2014-08,Rural e agroindustrial,3469501
188,2014-08,Veículos,13526297
189,2014-09,Cartão de crédito,121669408
190,2014-09,Empréstimo com consignação em folha,41677550
