,ano,cnae_secao,Estado,Valor,ativo_problematico_deflacionado,ativo_problematico/pop
87,2015,Alojamento e alimentação,ACRE,830026.0,11276099.955561744,13.585237035420269
88,2015,"Artes, cultura, esporte e recreação",ACRE,830026.0,400259.6821721439,0.48222547507203856
89,2015,Atividades administrativas e serviços complementares,ACRE,830026.0,25044076.523828063,30.17264100621916
90,2015,"Atividades financeiras, de seguros e serviços relacionados",ACRE,830026.0,452505.71572588704,0.5451705316771849
91,2015,Atividades imobiliárias,ACRE,830026.0,185070.41304907063,0.22296941667980355
92,2015,"Atividades profissionais, científicas e técnicas",ACRE,830026.0,7911865.907621986,9.532069968437117
93,2015,Comércio; reparação de veículos automotores e motocicletas,ACRE,830026.0,118886858.60289389,143.23269223240464
94,2015,Construção,ACRE,830026.0,49863906.21429325,60.0751135678801
95,2015,Educação,ACRE,830026.0,1933978.278412359,2.3300213227204436
96,2015,Indústrias de transformação,ACRE,830026.0,27863999.110072587,33.570031673794055
97,2015,Indústrias extrativas,ACRE,830026.0,197954.4558867547,0.23849187361209734
98,2015,Informação e comunicação,ACRE,830026.0,545812.0512305597,0.6575842819749739
99,2015,Outras atividades de serviços,ACRE,830026.0,1945180.8655548468,2.343517992875942
100,2015,Saúde humana e serviços sociais,ACRE,830026.0,2038899.8827163004,2.4564289344144647
101,2015,"Transporte, armazenagem e correio",ACRE,830026.0,9951466.24405652,11.989342796558805
102,2015,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ACRE,830026.0,910532.2984247733,1.096992501951473
111,2016,"Administração pública, defesa e seguridade social",ACRE,830026.0,0.0,0.0
112,2016,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ACRE,830026.0,596873.34134838,0.7191019815624812
113,2016,Alojamento e alimentação,ACRE,830026.0,14523285.693463592,17.49738645953692
114,2016,"Artes, cultura, esporte e recreação",ACRE,830026.0,1397734.8458355682,1.6839651358337788
115,2016,Atividades administrativas e serviços complementares,ACRE,830026.0,10949703.802065492,13.192000975951949
116,2016,"Atividades financeiras, de seguros e serviços relacionados",ACRE,830026.0,273175.5846367932,0.32911690071972827
117,2016,Atividades imobiliárias,ACRE,830026.0,1915810.8736689466,2.30813356891103
118,2016,"Atividades profissionais, científicas e técnicas",ACRE,830026.0,12232395.698085004,14.73736448988948
119,2016,Comércio; reparação de veículos automotores e motocicletas,ACRE,830026.0,124452002.19486313,149.93747448256215
120,2016,Construção,ACRE,830026.0,60594987.57060065,73.00372225761681
121,2016,Educação,ACRE,830026.0,2780131.5634605857,3.349451177987901
122,2016,Indústrias de transformação,ACRE,830026.0,32365098.33611989,38.99287291737836
123,2016,Indústrias extrativas,ACRE,830026.0,647093.9097627733,0.7796067951639748
124,2016,Informação e comunicação,ACRE,830026.0,2355684.827277156,2.838085586809517
125,2016,Outras atividades de serviços,ACRE,830026.0,1527121.101507644,1.8398473078043869
126,2016,Saúde humana e serviços sociais,ACRE,830026.0,1969374.8595763126,2.372666470178419
127,2016,"Transporte, armazenagem e correio",ACRE,830026.0,7826857.846627103,9.42965382605738
128,2016,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ACRE,830026.0,103762.59540820846,0.12501125917526495
137,2017,"Administração pública, defesa e seguridade social",ACRE,830026.0,920057393.5471503,1108.4681606927377
138,2017,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ACRE,830026.0,730149.0143531002,0.8796700517250065
139,2017,Alojamento e alimentação,ACRE,830026.0,8531518.101884227,10.278615491423434
140,2017,"Artes, cultura, esporte e recreação",ACRE,830026.0,833957.8082213079,1.0047369699519146
141,2017,Atividades administrativas e serviços complementares,ACRE,830026.0,13003914.35454237,15.66687592261251
142,2017,"Atividades financeiras, de seguros e serviços relacionados",ACRE,830026.0,126929.5387641812,0.15292236479842944
143,2017,Atividades imobiliárias,ACRE,830026.0,2321358.7497517434,2.7967301623705083
144,2017,"Atividades profissionais, científicas e técnicas",ACRE,830026.0,11059072.720695019,13.323766629834509
145,2017,Comércio; reparação de veículos automotores e motocicletas,ACRE,830026.0,70947930.07984748,85.47675624600613
146,2017,Construção,ACRE,830026.0,51271862.670002215,61.7713935105674
147,2017,Educação,ACRE,830026.0,1688684.272670017,2.034495633474153
148,2017,Indústrias de transformação,ACRE,830026.0,15210654.327535085,18.325515498954353
149,2017,Indústrias extrativas,ACRE,830026.0,326655.7642949934,0.39354883376544036
150,2017,Informação e comunicação,ACRE,830026.0,1018252.106139142,1.226771337451046
