,uf,ano,carteira_ativa
180,PE,2012,444137510904.4
181,PE,2013,843547792305.1799
182,PE,2014,832303115431.55
183,PE,2015,857219266443.5599
184,PE,2016,848229476174.6799
185,PE,2017,839792370571.04
186,PE,2018,853667268143.92
187,PE,2019,892261345846.4299
188,PE,2020,962045970449.72
189,PE,2021,1123327941056.59
190,PE,2022,1350610607897.67
191,PE,2023,990094075276.4
192,PI,2012,78812317977.05
193,PI,2013,156698338174.24
194,PI,2014,186326568273.06
195,PI,2015,213823825639.28
196,PI,2016,224198121724.82
197,PI,2017,233845693010.78
198,PI,2018,246677873880.6
199,PI,2019,269326413712.02
200,PI,2020,300583656318.73
201,PI,2021,369113820064.64
202,PI,2022,463430747906.04
203,PI,2023,350288641752.66
204,PR,2012,1035615399981.72
205,PR,2013,2025145187704.83
206,PR,2014,2339893809482.14
207,PR,2015,2513293131056.87
208,PR,2016,2517820365228.5
209,PR,2017,2519811896087.29
210,PR,2018,2610326794466.69
211,PR,2019,2808804003763.18
212,PR,2020,3206887524217.72
213,PR,2021,3830405751710.78
214,PR,2022,4527876571110.74
215,PR,2023,3314125425089.35
216,RJ,2012,1829290906483.24
217,RJ,2013,3550582256814.1997
218,RJ,2014,4212685998940.98
219,RJ,2015,4948915318412.07
220,RJ,2016,5133903713298.1
221,RJ,2017,4609851636543.47
222,RJ,2018,4424292036648.27
223,RJ,2019,4384315622007.5703
224,RJ,2020,4765231069732.49
225,RJ,2021,5092484689288.38
226,RJ,2022,5410948384590.95
227,RJ,2023,3734322067801.53
228,RN,2012,132560311982.62
229,RN,2013,268647825311.17
230,RN,2014,323056368379.79
231,RN,2015,343963883504.64
232,RN,2016,358809643081.9
233,RN,2017,361231726542.26
234,RN,2018,372881459429.76
235,RN,2019,389125383048.33
236,RN,2020,415541046302.79
237,RN,2021,486395280670.61
238,RN,2022,568815973727.06
239,RN,2023,415031379167.76
240,RO,2012,62206973802.25
241,RO,2013,124215958385.29
242,RO,2014,149400809853.81
243,RO,2015,168761667213.49
244,RO,2016,192367824486.32
245,RO,2017,200606194650.6
246,RO,2018,220254343439.91998
247,RO,2019,256531218601.21
248,RO,2020,297004547835.9
249,RO,2021,376700859042.5
250,RO,2022,485025221119.06
251,RO,2023,370469609718.35
252,RR,2012,25452000933.39
253,RR,2013,53935158129.29
254,RR,2014,57645309658.94
255,RR,2015,55485850389.78
256,RR,2016,56564229663.27
257,RR,2017,57742607657.64
258,RR,2018,60387953709.44
259,RR,2019,63462303383.84
260,RR,2020,68687454958.01
261,RR,2021,82737742620.03
262,RR,2022,103852421371.70999
263,RR,2023,83398453568.43001
264,RS,2012,1002922540721.48
265,RS,2013,1950684852679.53
266,RS,2014,2231287403632.7603
267,RS,2015,2384815746984.2
268,RS,2016,2387712038015.86
269,RS,2017,2373824249615.93
270,RS,2018,2444883500814.31
271,RS,2019,2651197163917.34
272,RS,2020,2969565465410.97
273,RS,2021,3490199580539.0
274,RS,2022,4130205107474.55
275,RS,2023,3023600355910.41
276,SC,2012,734676066971.29
277,SC,2013,1391096770508.45
278,SC,2014,1578917071755.01
279,SC,2015,1702684592826.26
280,SC,2016,1732271384994.23
281,SC,2017,1729976976735.17
282,SC,2018,1806829081250.48
283,SC,2019,2001344928899.45
284,SC,2020,2281963381632.37
285,SC,2021,2737038265575.86
286,SC,2022,3216253986552.31
287,SC,2023,2333550372845.41
288,SE,2012,87559458224.19
289,SE,2013,171298989017.31
290,SE,2014,199911535962.89
291,SE,2015,207758107419.91
292,SE,2016,212680671148.59
293,SE,2017,213329240496.32
294,SE,2018,215948166437.02
295,SE,2019,226793283546.78
296,SE,2020,243998005295.91
297,SE,2021,287333906257.29
298,SE,2022,341561999758.61
299,SE,2023,253817533200.83
300,SP,2012,4877879501726.99
301,SP,2013,9127347565256.8
302,SP,2014,10329773532972.24
303,SP,2015,11076151508909.41
304,SP,2016,11251749895104.29
305,SP,2017,11017496783549.19
306,SP,2018,11164306508382.91
307,SP,2019,11723510647953.46
308,SP,2020,13084499925288.86
309,SP,2021,15236229668454.41
310,SP,2022,17347111603000.42
311,SP,2023,12252707652958.93
312,TO,2012,67576616608.79
313,TO,2013,137489711976.97
314,TO,2014,159677559876.4
315,TO,2015,177632141725.85
316,TO,2016,183247026540.22
317,TO,2017,182616385282.89
318,TO,2018,188081104367.38
319,TO,2019,201939922342.63
320,TO,2020,227576748254.66
321,TO,2021,290180375718.42
322,TO,2022,371989039472.07
323,TO,2023,292529212273.73
