,titular_1,titular_parceiros1,titular_parceiros2,titular_abv,titular_uf1,Regiao,class_int1,IPC1,IPC2,Area
0,UNIVERSIDADE FEDERAL DO CEARÁ,,,UFC,CE,Nordeste,H01Q 13/10,H01Q,13/10,Telecomunicações
1,FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,,,UFAM,AM,Norte,H04L 29/06,H04L,29/06,Comunicação digital
2,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",UNIVERSIDADE FEDERAL DE PERNAMBUCO,ASSOCIAÇÃO INSTITUTO DE TECNOLOGIA DE PERNAMBUCO ? ITEP/OS,IFPE,PE,Nordeste,G01D 3/08,G01D,3/08,Medição
3,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",,,IFGOIANO,GO,Centro-Oeste,A21D 13/045,A21D,13/045,Química Alimentar
4,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,C12Q 1/68,C12Q,1/68,Biotecnologia
5,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,Nordeste,C12Q 1/00,C12Q,1/00,Biotecnologia
6,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,Sul,C01B 39/04,C01B,39/04,"Materiais, metalurgia"
7,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS,,,RJ,Sudeste,G01N 29/06,G01N,29/06,Medição
8,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23C 19/076,A23C,19/076,Química Alimentar
9,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,H02S 40/32,H02S,40/32,"Máquinas elétricas, aparelhos, energia"
10,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,C01B 33/32,C01B,33/32,"Materiais, metalurgia"
11,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,Nordeste,A01M 1/04,A01M,1/04,Outras máquinas especiais
12,UNIVERSIDADE FEDERAL DA PARAIBA,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA - EMBRAPA,,UFPB,PB,Nordeste,A01N 65/40,A01N,65/40,Química de materiais básicos
13,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,C08K 9/04,C08K,9/04,"Química macromolecular, polímeros"
14,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A21D 13/06,A21D,13/06,Química Alimentar
15,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A21D 13/066,A21D,13/066,Química Alimentar
16,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,Norte,G01D 4/00,G01D,4/00,Medição
17,INSTITUTO DE TECNOLOGIA E PESQUISA,UNIVERSIDADE TIRADENTES,UNIVERSIDADE FEDERAL DE SERGIPE,,SE,Nordeste,C12N 11/10,C12N,11/10,Biotecnologia
18,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,Norte,A61K 36/06,A61K,36/06,Produtos farmacêuticos
19,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,Norte,A61K 36/185,A61K,36/185,Produtos farmacêuticos
20,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,A01M 1/04,A01M,1/04,Outras máquinas especiais
21,UNIVERSIDADE FEDERAL DE JUIZ DE FORA - UFJF,,,UFJF,MG,Sudeste,G01R 23/167,G01R,23/167,Medição
22,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,"SECRETARIA DO DESENVOLVIMENTO ECONÔMICO, CIÊNCIA E TECNOLOGIA",,UNIPAMPA,RS,Sul,C08B 37/00,C08B,37/00,"Química macromolecular, polímeros"
23,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS ? FAPEMIG,,UFMG,MG,Sudeste,C07F 1/08,C07F,1/08,Química fina orgânica
24,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,A61B 5/0488,A61B,5/0488,Tecnologia médica
25,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,,UFRN,RN,Nordeste,B05D 5/12,B05D,5/12,"Tecnologia de superfície, revestimento"
26,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,G06K 9/20,G06K,9/20,Tecnologia computacional
27,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,A61B 6/14,A61B,6/14,Tecnologia médica
28,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS - IFSULDEMINAS",,,IFSULDEMINAS,MG,Sudeste,B63B 35/00,B63B,35/00,Transporte
29,UNIVERSIDADE FEDERAL DE SERGIPE,,,UFS,SE,Nordeste,C08H 1/00,C08H,1/00,"Química macromolecular, polímeros"
30,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DE SANTA MARIA - UFSM,,UFPE,PE,Nordeste,H04N 19/42,H04N,19/42,Tecnologia audiovisual
31,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,Sul,B01D 11/02,B01D,11/02,Engenharia química
32,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,Sul,A23L 27/00,A23L,27/00,Química Alimentar
33,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS ? FAPEMIG,UNIVERSIDADE FEDERAL DE VIÇOSA,UFMG,MG,Sudeste,C07D 487/04,C07D,487/04,Química fina orgânica
34,UNIVERSIDADE FEDERAL DE SANTA MARIA,CENTRO NACIONAL DE PESQUISA DE FLORESTAS - EMBRAPA FLORESTAS,UNIVERSIDADE FEDERAL DE PELOTAS; SALZBURG UNIVERSITY OF APPLIED SCIENCES,UFSM,RS,Sul,C08J 3/075,C08J,3/075,Outras máquinas especiais
35,UNIVERSIDADE FEDERAL DA BAHIA,,,UFBA,BA,Nordeste,C05F 17/00,C05F,17/00,Química de materiais básicos
36,UNIVERSIDADE FEDERAL DO CEARÁ,,,UFC,,,A23L 27/60,A23L,27/60,Química Alimentar
37,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIVERSIDADE FEDERAL DO PARANÁ,,,PR,Sul,C12P 7/06,C12P,7/06,Biotecnologia
38,FUNDACAO UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,,,UNIVASF,PE,Nordeste,A61K 36/906,A61K,36/906,Produtos farmacêuticos
39,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO ESPIRITO SANTO,,,IFES,ES,Sudeste,G01J 5/04,G01J,5/04,Medição
40,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,FUNDAÇÃO PARQUE TECNOLÓGICO ITAIPU,FUNDAÇÃO ARAUCÁRIA DE APOIO AO DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO DO PARANÁ,UTFPR,PR,Sul,G01N 1/10,G01N,1/10,Medição
41,UNIVERSIDADE FEDERAL DE SÃO PAULO - UNIFESP,,,UNIFESP,SP,Sudeste,A61B 17/28,A61B,17/28,Tecnologia médica
42,UNIVERSIDADE FEDERAL DE LAVRAS,FUNDAÇÃO DE AMPARO À PESQUISA DE MINAS GERAIS,,UFLA,MG,Sudeste,C02F 1/72,C02F,1/72,Tecnologia Ambiental
43,UNIFEI - UNIVERSIDADE FEDERAL DE ITAJUBÁ,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS,,UNIFEI,MG,Sudeste,C07D 401/10,C07D,401/10,Química fina orgânica
44,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,,,UFMS,MS,Centro-Oeste,A23L 33/185,A23L,33/185,Química Alimentar
45,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,,,UFMT,MT,Centro-Oeste,A63F 3/04,A63F,3/04,"Móveis, jogos"
46,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,C09K 11/08,C09K,11/08,Química de materiais básicos
47,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",,,IFGOIANO,GO,Centro-Oeste,B01D 71/70,B01D,71/70,Engenharia química
48,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,,,UFRPE,PE,Nordeste,C12Q 1/02,C12Q,1/02,Biotecnologia
49,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA",,,IFRO,RO,Norte,G09B 23/08,G09B,23/08,Controle
50,FUNDACAO UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,,,UNIVASF,PE,Nordeste,A61L 15/16,A61L,15/16,Tecnologia médica
51,UNIVERSIDADE FEDERAL DE OURO PRETO,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS ? FAPEMIG,,UFOP,MG,Sudeste,A61K 36/32,A61K,36/32,Produtos farmacêuticos
52,INSTITUTO FEDERAL DE SANTA CATARINA,,,IFSC,SC,Sul,G05B 17/02,G05B,17/02,Controle
53,FUNDACAO UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,,,UNIVASF,PE,Nordeste,A61K 9/14,A61K,9/14,Produtos farmacêuticos
54,UNIVERSIDADE FEDERAL DE LAVRAS,FUNDAÇÃO DE AMPARO À PESQUISA DE MINAS GERAIS,,UFLA,MG,Sudeste,C01F 5/00,C01F,5/00,"Materiais, metalurgia"
55,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS,,,UFSCAR,SP,Sudeste,C08L 9/02,C08L,9/02,"Química macromolecular, polímeros"
56,INSTITUTO DE TECNOLOGIA E PESQUISA,UNIVERSIDADE TIRADENTES,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO; UNIVERSIDADE FEDERAL DE SERGIPE; UNIVERSIDADE DE SOROCABA,,SE,Nordeste,A61L 27/20,A61L,27/20,Tecnologia médica
57,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,Sul,C08J 3/075,C08J,3/075,Outras máquinas especiais
58,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,B63B 21/58,B63B,21/58,Transporte
59,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,,,UFRB,BA,Nordeste,G01N 21/21,G01N,21/21,Medição
60,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,C12P 7/18,C12P,7/18,Biotecnologia
61,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,D04H 1/425,D04H,1/425,Máquinas têxteis e de papel
62,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23L 9/10,A23L,9/10,Química Alimentar
63,UNIFEI - UNIVERSIDADE FEDERAL DE ITAJUBÁ,,,UNIFEI,MG,Sudeste,C01B 32/15,C01B,32/15,"Materiais, metalurgia"
64,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UNIVERSIDADE ESTADUAL DO CENTRO-OESTE,UTFPR,PR,Sul,C04B 35/01,C04B,35/01,"Materiais, metalurgia"
65,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS - IFSULDEMINAS",,,IFSULDEMINAS,MG,Sudeste,A01B 45/00,A01B,45/00,Outras máquinas especiais
66,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,UNIVERSIDADE ESTADUAL DO CENTRO-OESTE,,UTFPR,PR,Sul,C08G 63/00,C08G,63/00,"Química macromolecular, polímeros"
67,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",,,IFPI,PI,Nordeste,A47K 3/024,A47K,3/024,"Móveis, jogos"
68,FRANCISCO CILDOMAR DA SILVA CORREIA,RUI CALOS PERUQUETTI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE,,AC,Norte,A01K 47/06,A01K,47/06,Outras máquinas especiais
69,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO - UFES,,,UFES,ES,Sudeste,A63F 3/00,A63F,3/00,"Móveis, jogos"
70,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,A61B 5/08,A61B,5/08,Tecnologia médica
71,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,,,UFRPE,PE,Nordeste,A01K 61/17,A01K,61/17,Outras máquinas especiais
72,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,B29B 17/04,B29B,17/04,Outras máquinas especiais
73,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,B23K 9/28,B23K,9/28,Máquina operatriz
74,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,C08K 3/04,C08K,3/04,"Química macromolecular, polímeros"
75,UNIVERSIDADE FEDERAL DO PARANA,,,UFPR,PR,Sul,C23C 8/06,C23C,8/06,"Tecnologia de superfície, revestimento"
76,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,A61K 36/48,A61K,36/48,Produtos farmacêuticos
77,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,A23L 13/60,A23L,13/60,Química Alimentar
78,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,C12P 23/00,C12P,23/00,Biotecnologia
79,FUNDAÇÃO UNIVERSIDADE DE BRASILIA,UNIVERSIDADE FEDERAL DE GOIÁS,,UNB,DF,Centro-Oeste,A61D 1/06,A61D,1/06,Tecnologia médica
80,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,A63B 21/00,A63B,21/00,"Móveis, jogos"
81,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,B01D 50/00,^B01D/50,50/00,
82,UNIVERSIDADE FEDERAL DE SANTA MARIA,,,UFSM,RS,Sul,G01N 1/28,G01N,1/28,Medição
83,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FAPEMIG - FUNDAÇÃO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS,,UFU,MG,Sudeste,G01N 21/00,G01N,21/00,Medição
84,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,B22F 3/105,B22F,3/105,"Materiais, metalurgia"
85,UNIVERSIDADE FEDERAL DE PERNAMBUCO,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA,,UFPE,PE,Nordeste,H04W 4/80,H04W,4/80,Comunicação digital
86,UNIVERSIDADE FEDERAL DE PERNAMBUCO,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA,,UFPE,PE,Nordeste,H04W 4/02,H04W,4/02,Comunicação digital
87,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23L 33/00,A23L,33/00,Química Alimentar
88,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,,,UFRJ,RJ,Sudeste,G01N 33/28,G01N/33,33/28,Análise de materiais biológicos
89,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,Sul,D21C 5/02,D21C,5/02,Máquinas têxteis e de papel
90,FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO,INSTITUTO FEDERAL FARROUPILHA - IFFAR,UNIVERSIDADE FEDERAL DE SANTA MARIA - UFSM,,RS,Sul,A23C 21/02,A23C,21/02,Química Alimentar
91,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",,,IFGOIANO,GO,Centro-Oeste,A61K 31/28,A61K,31/28,Produtos farmacêuticos
92,UNIFEI - UNIVERSIDADE FEDERAL DE ITAJUBÁ,,,UNIFEI,MG,Sudeste,C02F 1/32,C02F,1/32,Tecnologia Ambiental
93,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS - IFSULDEMINAS",,,IFSULDEMINAS,MG,Sudeste,G01N 21/85,G01N,21/85,Medição
94,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,A46B 15/00,A46B,15/00,Outros bens de consumo
95,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,IFRN,RN,Nordeste,G06K 9/34,G06K,9/34,Tecnologia computacional
96,UNIVERSIDADE FEDERAL DE LAVRAS,FUNDAÇÃO DE AMPARO À PESQUISA DE MINAS GERAIS,,UFLA,MG,Sudeste,B01J 23/745,B01J,23/745,Engenharia química
97,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,C01B 32/318,C01B,32/318,"Materiais, metalurgia"
98,UNIVERSIDADE FEDERAL DE SANTA MARIA,CENTRO DE TECNOLOGIAS ESTRATÉGICAS DO NORDESTE - CETENE,,UFSM,RS,Sul,C01B 3/04,C01B,3/04,"Materiais, metalurgia"
99,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,C01B 32/324,C01B,32/324,"Materiais, metalurgia"
100,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,CEFET-MG,MG,Sudeste,F02B 19/10,F02B,19/10,"Motores, bombas, turbinas"
101,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,C12P 21/00,C12P,21/00,Biotecnologia
102,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,A61K 36/185,A61K,36/185,Produtos farmacêuticos
103,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,A61K 36/185,A61K,36/185,Produtos farmacêuticos
104,UNIVERSIDADE FEDERAL DE SANTA MARIA,,,UFSM,RS,Sul,C12P 19/04,C12P,19/04,Biotecnologia
105,UNIVERSIDADE FEDERAL DE VIÇOSA,,,UFV,MG,Sudeste,A01N 65/00,A01N,65/00,Química de materiais básicos
106,UNIVERSIDADE FEDERAL DE VIÇOSA,,,UFV,MG,Sudeste,A61K 36/185,A61K,36/185,Produtos farmacêuticos
107,UNIVERSIDADE FEDERAL DO PARANA,,,UFPR,PR,Sul,B05D 7/00,B05D,7/00,"Tecnologia de superfície, revestimento"
108,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A61B 5/0476,A61B,5/0476,Tecnologia médica
109,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,A46B 11/00,A46B,11/00,Outros bens de consumo
110,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,SOCIEDADE DE EDUCAÇÃO SUPERIOR GUAIRACÁ LTDA,,UTFPR,PR,Sul,G09B 29/00,G09B,29/00,Controle
111,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FUNDAÇÃO DE AMPARO Á PESQUISA DO ESTADO DE MINAS GERAIS-FAPEMIG,UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP; CIRINO ALBERTO GOULART EIRELI - EPP (LABORATÓRIO BIOGENETICS),UFU,MG,Sudeste,C12N 15/115,C12N,15/115,Biotecnologia
112,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23L 7/109,A23L,7/109,Química Alimentar
113,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23L 27/60,A23L,27/60,Química Alimentar
114,INSTITUTO FEDERAL SUL-RIO-GRANDENSE,,,IFSUL,RS,Sul,B60P 3/073,B60P,3/073,Transporte
115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO - UFRJ,UNIVERSIDADE FEDERAL FLUMINENSE - UFF,,UFRJ,RJ,Sudeste,C08J 5/18,C08J,5/18,Outras máquinas especiais
116,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,Nordeste,A61K 36/899,A61K,36/899,Produtos farmacêuticos
117,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,Nordeste,A61K 36/889,A61K,36/889,Produtos farmacêuticos
118,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO",,,IFSERTAOPE,PE,Nordeste,A21D 2/36,A21D,2/36,Química Alimentar
119,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UNIVERSIDADE FEDERAL DA BAHIA,PETRÓLEO BRASILEIRO SA - PETROBRAS,UFRB,BA,Nordeste,C02F 5/10,C02F,5/10,Tecnologia Ambiental
120,UNIVERSIDADE FEDERAL DE SERGIPE,,,UFS,SE,Nordeste,C08B 37/16,C08B,37/16,"Química macromolecular, polímeros"
121,UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS,,,SP,Sudeste,C07D 513/00,C07D,513/00,Química fina orgânica
122,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE - UFRN,,UFPE,PE,Nordeste,A23L 7/10,A23L,7/10,Química Alimentar
123,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UNIVERSIDADE FEDERAL DE VIÇOSA,,UFSJ,MG,Sudeste,A23B 7/16,A23B,7/16,Química Alimentar
124,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,B65D 81/28,B65D,81/28,Manuseio
125,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,A61L 27/18,A61L,27/18,Tecnologia médica
126,UNIFEI - UNIVERSIDADE FEDERAL DE ITAJUBÁ,,,UNIFEI,MG,Sudeste,G10D 3/12,G10D,3/12,Outros bens de consumo
127,UNIVERSIDADE FEDERAL DE VIÇOSA,UNIVERSIDADE FEDERAL DE OURO PRETO,FUNDAÇÃO DE AMPARO A PESQUISA DE MINAS GERAIS - FAPEMIG,UFV,MG,Sudeste,G05B 11/00,G05B,11/00,Controle
128,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,UFRPE,PE,Nordeste,C12P 21/06,C12P,21/06,Biotecnologia
129,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23L 19/00,A23L,19/00,Química Alimentar
130,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",UNIVERSIDADE FEDERAL DE SANTA MARIA,,IFPI,PI,Nordeste,A61C 1/08,A61C,1/08,Tecnologia médica
131,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,HOSPITAL DE CLÍNICAS DE PORTO ALEGRE,,UFRGS,RS,Sul,A61K 9/16,A61K,9/16,Produtos farmacêuticos
132,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,A23L 17/00,A23L,17/00,Química Alimentar
133,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,,UFRN,RN,Nordeste,C01B 33/26,C01B,33/26,"Materiais, metalurgia"
134,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,,,UFMS,MS,Centro-Oeste,A23G 9/38,A23G,9/38,Química Alimentar
135,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,,UFRN,RN,Nordeste,C01B 39/46,C01B,39/46,"Materiais, metalurgia"
136,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS,,,UFSCAR,SP,Sudeste,C03C 3/04,C03C,3/04,"Materiais, metalurgia"
137,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,UFRPE,PE,Nordeste,C05F 11/08,C05F,11/08,Química de materiais básicos
138,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,G08G 1/09,G08G,1/09,Controle
139,UNIVERSIDADE FEDERAL DE LAVRAS,FUNDAÇÃO DE AMPARO À PESQUISA DE MINAS GERAIS,,UFLA,MG,Sudeste,G08G 1/16,G08G,1/16,Controle
140,UNIVERSIDADE FEDERAL DO PARANÁ,,,UFPR,PR,Sul,A61K 36/24,A61K,36/24,Produtos farmacêuticos
141,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO - UFES,PETRÓLEO BRASILEIRO S. A. - PETROBRÁS,,UFES,ES,Sudeste,B01D 17/04,B01D,17/04,Engenharia química
142,UNIVERSIDADE FEDERAL DO CEARA,,,UFC,,,A61L 2/00,A61L,2/00,Tecnologia médica
143,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,,,UFES,,,A01N 1/02,A01N,1/02,Química de materiais básicos
144,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",,,IFPI,,,A61L 15/20,A61L,15/20,Tecnologia médica
145,UNIFEI - UNIVERSIDADE FEDERAL DE ITAJUBÁ,,,UNIFEI,MG,Sudeste,C04B 35/26,C04B,35/26,"Materiais, metalurgia"
146,UNIVERSIDADE FEDERAL DE SERGIPE,,,UFS,SE,Nordeste,G01N 33/14,G01N/33,33/14,Análise de materiais biológicos
147,UNIVERSIDADE FEDERAL DO PARANA,,,UFPR,PR,Sul,F01D 15/10,F01D,15/10,"Motores, bombas, turbinas"
148,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,C09K 8/28,C09K,8/28,Química de materiais básicos
149,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,A61K 8/92,A61K/8,8/92,Química fina orgânica
150,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,,UFRN,RN,Nordeste,A61B 5/11,A61B,5/11,Tecnologia médica
151,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO - UFES,,,UFES,ES,Sudeste,G06Q 50/02,G06Q,50/02,Métodos de TI para gerenciamento
152,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO - UFES,,,UFES,ES,Sudeste,C02F 1/465,C02F,1/465,Tecnologia Ambiental
153,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO - UFES,,,UFES,ES,Sudeste,G01C 17/02,G01C,17/02,Medição
154,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO - UFES,,,UFES,ES,Sudeste,A61K 31/201,A61K,31/201,Produtos farmacêuticos
155,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,A61L 15/20,A61L,15/20,Tecnologia médica
156,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ASSOCIAÇÃO INSTITUTO DE TECNOLOGIA DE PERNAMBUCO - ITEP/OS,,UFPE,PE,Nordeste,A23C 19/05,A23C,19/05,Química Alimentar
