,titular_1,titular_parceiros1,titular_parceiros2,titular_abv,titular_uf1,Regiao,class_int1,IPC1,IPC2,Area
2026,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,,,UFSJ,MG,Sudeste,C07K 14/19,C07K,14/19,Biotecnologia
2027,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,,,UFSJ,MG,Sudeste,C07K 14/44,C07K,14/44,Biotecnologia
2028,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,,,UFT,TO,Centro-Oeste,A61K 39/08,A61K,39/08,Produtos farmacêuticos
2029,EDMAR MACIEL LIMA JÚNIOR,UNIVERSIDADE FEDERAL DO CEARÁ – UFC,,,CE,Nordeste,C07K 14/78,C07K,14/78,Biotecnologia
2030,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,,,UFGD,MS,Centro-Oeste,C07K 1/22,C07K,1/22,Biotecnologia
2031,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,G01N 33/92,G01N/33,33/92,Análise de materiais biológicos
2032,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI - UFSJ; FUNDAÇÃO EZEQUIEL DIAS - FUNED,UFMG,MG,Sudeste,C07K 7/06,C07K,7/06,Biotecnologia
2033,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,FUNDAÇÃO EZEQUIEL DIAS - FUNED,UFMG,MG,Sudeste,C07K 7/08,C07K,7/08,Biotecnologia
2034,FUNDAÇÃO OSWALDO CRUZ,INSTITUTO DE BIOLOGIA MOLECULAR DO PARANÁ - IBMP,UNIVERSIDADE FEDERAL DO PARANÁ - UFPR,,RJ,Sudeste,C07K 14/19,C07K,14/19,Biotecnologia
2035,UNIVERSIDADE FEDERAL DE MINAS GERAIS,"INSTITUTO ÂNIMA SOCIESC DE INOVAÇÃO, PESQUISA E CULTURA",,UFMG,MG,Sudeste,A61K 39/00,A61K,39/00,Produtos farmacêuticos
2036,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,C07K 14/415,C07K,14/415,Biotecnologia
2037,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,C07K 14/415,C07K,14/415,Biotecnologia
2038,UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO,UNIVERSIDADE FEDERAL DE SÃO PAULO,,,SP,Sudeste,G01N 33/566,G01N/33,33/566,Análise de materiais biológicos
2039,UNIVERSIDADE FEDERAL DE VIÇOSA,UNIVERSIDADE FEDERAL DE MINAS GERAIS,SOCIEDADE EDUCACIONAL UBERABENSE,UFV,MG,Sudeste,G01N 33/569,G01N/33,33/569,Análise de materiais biológicos
2040,UNIVERSIDADE FEDERAL DE VIÇOSA,UNIVERSIDADE FEDERAL DE MINAS GERAIS - UFMG,SOCIEDADE EDUCACIONAL UBERABENSE,UFV,MG,Sudeste,C07K 14/44,C07K,14/44,Biotecnologia
2041,UNIVERSIDADE FEDERAL DE PELOTAS,,,UFPEL,RS,Sul,C07K 14/20,C07K,14/20,Biotecnologia
2042,UNIVERSIDADE FEDERAL DE VIÇOSA,,,UFV,MG,Sudeste,C07K 14/20,C07K,14/20,Biotecnologia
2043,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,,,UFSJ,MG,Sudeste,C07K 14/44,C07K,14/44,Biotecnologia
2044,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,,,UFMS,MS,Centro-Oeste,C07K 7/08,C07K,7/08,Biotecnologia
2045,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,CIRINO ALBERTO GOULART EIRELI EPP (BIOGENETICS),,UFU,MG,Sudeste,A61K 38/20,A61K,38/20,Produtos farmacêuticos
2046,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,,UFRN,RN,Nordeste,C07K 14/215,C07K,14/215,Biotecnologia
2047,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,,,UFMS,MS,Centro-Oeste,C07K 7/08,C07K,7/08,Biotecnologia
2048,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,,,UFMS,MS,Centro-Oeste,C07K 7/08,C07K,7/08,Biotecnologia
2049,UNIVERSIDADE FEDERAL DE ALAGOAS,,,UFAL,AL,Nordeste,A61K 39/395,A61K,39/395,Produtos farmacêuticos
2050,UNIVERSIDADE FEDERAL DE MINAS GERAIS,NATIONAL INSTITUTE OF HEALTH - NIH,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,UFMG,MG,Sudeste,C07K 14/435,C07K,14/435,Biotecnologia
2051,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,Nordeste,C30B 7/04,C30B,7/04,"Tecnologia de superfície, revestimento"
2052,UNIVERSIDADE FEDERAL DE SANTA CATARINA,,,UFSC,SC,Sul,A61L 27/04,A61L,27/04,Tecnologia médica
2053,UNIVERSIDADE FEDERAL DE ALAGOAS,,,UFAL,AL,Nordeste,A61L 26/00,A61L,26/00,Tecnologia médica
2054,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,,,UFOPA,PA,Norte,E04C 2/26,E04C,2/26,Engenharia Civil
2055,UNIVERSIDADE FEDERAL DO PARANA,,,UFPR,PR,Sul,G06K 9/00,G06K,9/00,Tecnologia computacional
2056,UNIVERSIDADE FEDERAL DO PARANA,EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA - EMBRAPA,,UFPR,PR,Sul,C08L 1/08,C08L,1/08,"Química macromolecular, polímeros"
2057,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,,,UFSJ,MG,Sudeste,A63B 24/00,A63B,24/00,"Móveis, jogos"
2058,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,Nordeste,A23L 27/40,A23L,27/40,Química Alimentar
2059,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS,,,UFSCAR,SP,Sudeste,C12P 7/06,C12P,7/06,Biotecnologia
2060,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,C09K 8/36,C09K,8/36,Química de materiais básicos
2061,INSTITUTO FEDERAL DE EDUCAÇÃO CIENCIA E TECNOLOGIA DE MINAS GERAIS,GERDAU S.A,,IFMG,MG,Sudeste,B21C 19/00,B21C,19/00,Máquina operatriz
2062,FUNDAÇÃO UNIVERSIDADE DE BRASILIA,,,UNB,DF,Centro-Oeste,C08F 2/18,C08F,2/18,"Química macromolecular, polímeros"
2063,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,G01N 21/88,G01N,21/88,Medição
2064,UNIVERSIDADE FEDERAL DE LAVRAS,FUNDAÇÃO DE AMPARO À PESQUISA DE MINAS GERAIS,,UFLA,MG,Sudeste,G01C 9/08,G01C,9/08,Medição
2065,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,Sul,A43B 3/12,A43B,3/12,Outros bens de consumo
2066,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,A01K 67/033,A01K,67/033,Outras máquinas especiais
2067,UNIVERSIDADE FEDERAL DO PARANA,,,UFPR,PR,Sul,G01N 33/569,G01N/33,33/569,Análise de materiais biológicos
2068,UNIVERSIDADE FEDERAL DO PARANA,,,UFPR,PR,Sul,C12N 1/20,C12N,1/20,Biotecnologia
2069,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,Nordeste,A23L 23/00,A23L,23/00,Química Alimentar
2070,UNIVERSIDADE FEDERAL DO PIAUÍ,,,UFPI,PI,Nordeste,E04G 11/06,E04G,11/06,Engenharia Civil
2071,UNIVERSIDADE FEDERAL DE JUIZ DE FORA - UFJF,,,UFJF,MG,Sudeste,G01N 27/04,G01N,27/04,Medição
2072,UNIVERSIDADE FEDERAL DE OURO PRETO - UFOP,,,UFOP,MG,Sudeste,A61K 36/28,A61K,36/28,Produtos farmacêuticos
2073,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23L 3/3454,A23L,3/3454,Química Alimentar
2074,UNIVERSIDADE FEDERAL DE SÃO PAULO - UNIFESP,,,UNIFESP,SP,Sudeste,C12Q 1/04,C12Q,1/04,Biotecnologia
2075,UNIVERSIDADE FEDERAL DE LAVRAS,FUNDAÇÃO DE AMPARO À PESQUISA DE MINAS GERAIS,,UFLA,MG,Sudeste,G01J 3/46,G01J,3/46,Medição
2076,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,,,UFT,TO,Centro-Oeste,B01D 39/06,B01D,39/06,Engenharia química
2077,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,,UFRN,RN,Nordeste,C23F 11/173,C23F,11/173,"Tecnologia de superfície, revestimento"
2078,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE - UERN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE - UFRN,,,RN,Nordeste,A61B 6/00,A61B,6/00,Tecnologia médica
2079,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO AMAZONAS,,,IFAM,AM,Norte,C12G 3/024,C12G,3/024,Química Alimentar
2080,UNIVERSIDADE FEDERAL DA PARAIBA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,UFPB,PB,Nordeste,A61K 36/886,A61K,36/886,Produtos farmacêuticos
2081,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23C 9/133,A23C,9/133,Química Alimentar
2082,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,Nordeste,A61K 31/10,A61K,31/10,Produtos farmacêuticos
2083,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,,,UFMT,MT,Centro-Oeste,A61K 36/48,A61K,36/48,Produtos farmacêuticos
2084,UNIVERSIDADE FEDERAL DE JUIZ DE FORA - UFJF,,,UFJF,MG,Sudeste,G06F 3/01,G06F,3/01,Tecnologia computacional
2085,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,,,UFMT,MT,Centro-Oeste,A61K 36/67,A61K,36/67,Produtos farmacêuticos
