,Ano,UF,municipio,pib_pc,Ranking,QuintilRank,ipib_pc,classes,ibge_6
55868,2020,PA,Canaã dos Carajás,591101.11,1.0,décimo décimo,591101.11,100k+,150215
60859,2020,MS,Selvíria,406011.0,2.0,décimo décimo,406011.0,100k+,500780
59260,2020,SP,Louveira,357104.23,3.0,décimo décimo,357104.23,100k+,352730
59362,2020,SP,Paulínia,344390.47,4.0,décimo décimo,344390.47,100k+,353650
59144,2020,SP,Gavião Peixoto,333943.43,5.0,décimo décimo,333943.43,100k+,351685
58208,2020,MG,Extrema,311128.82,6.0,décimo décimo,311128.82,100k+,312510
59184,2020,SP,Ilhabela,302099.4,7.0,décimo décimo,302099.4,100k+,352040
58840,2020,ES,Presidente Kennedy,301474.89,8.0,décimo décimo,301474.89,100k+,320430
57868,2020,BA,São Francisco do Conde,296357.52,9.0,décimo décimo,296357.52,100k+,292920
61085,2020,GO,Davinópolis,288689.93,10.0,décimo décimo,288689.93,100k+,520690
60890,2020,MT,Campos de Júlio,270716.88,11.0,décimo décimo,270716.88,100k+,510268
59055,2020,SP,Cajamar,266875.13,12.0,décimo décimo,266875.13,100k+,350920
56336,2020,MA,Tasso Fragoso,260020.65,13.0,décimo décimo,260020.65,100k+,211200
60984,2020,MT,Santa Rita do Trivelato,256227.98,14.0,décimo décimo,256227.98,100k+,510776
58330,2020,MG,Jeceaba,256221.87,15.0,décimo décimo,256221.87,100k+,313540
59421,2020,SP,Queiroz,251248.25,16.0,décimo décimo,251248.25,100k+,354180
55978,2020,PA,Vitória do Xingu,250970.45,17.0,décimo décimo,250970.45,100k+,150835
60753,2020,RS,Triunfo,241634.52,18.0,décimo décimo,241634.52,100k+,432200
60495,2020,RS,Imigrante,240070.4,19.0,décimo décimo,240070.4,100k+,431036
58120,2020,MG,Conceição do Mato Dentro,239333.24,20.0,décimo décimo,239333.24,100k+,311750
60556,2020,RS,Muitos Capões,228470.49,21.0,décimo décimo,228470.49,100k+,431261
58650,2020,MG,São Gonçalo do Rio Abaixo,224983.89,22.0,décimo décimo,224983.89,100k+,316190
58900,2020,RJ,Maricá,216519.52,23.0,décimo décimo,216519.52,100k+,330270
57969,2020,MG,Araporã,210970.72,24.0,décimo décimo,210970.72,100k+,310375
58095,2020,MG,Catas Altas,201806.62,25.0,décimo décimo,201806.62,100k+,311535
60193,2020,SC,Piratuba,198923.18,26.0,décimo décimo,198923.18,100k+,421310
59232,2020,SP,Jaguariúna,195909.31,27.0,décimo décimo,195909.31,100k+,352470
59016,2020,SP,Barueri,185046.58,28.0,décimo décimo,185046.58,100k+,350570
60946,2020,MT,Nova Ubiratã,184589.24,29.0,décimo décimo,184589.24,100k+,510624
60605,2020,RS,Pinhal Grande,181298.37,30.0,décimo décimo,181298.37,100k+,431447
55925,2020,PA,Parauapebas,177992.21,31.0,décimo décimo,177992.21,100k+,150553
58933,2020,RJ,São João da Barra,177439.19,32.0,décimo décimo,177439.19,100k+,330500
60962,2020,MT,Porto dos Gaúchos,176857.16,33.0,décimo décimo,176857.16,100k+,510680
61071,2020,GO,Chapadão do Céu,174999.62,34.0,décimo décimo,174999.62,100k+,520547
60917,2020,MT,Ipiranga do Norte,167568.41,35.0,décimo décimo,167568.41,100k+,510452
58940,2020,RJ,Saquarema,167325.94,36.0,décimo décimo,167325.94,100k+,330550
58309,2020,MG,Itatiaiuçu,164890.77,37.0,décimo décimo,164890.77,100k+,313370
56304,2020,MA,Santo Antônio dos Lopes,164565.58,38.0,décimo décimo,164565.58,100k+,211030
60367,2020,RS,Candiota,163593.81,39.0,décimo décimo,163593.81,100k+,430435
60845,2020,MS,Paraíso das Águas,159719.58,40.0,décimo décimo,159719.58,100k+,500627
60310,2020,RS,Aratiba,159159.49,41.0,décimo décimo,159159.49,100k+,430090
60967,2020,MT,Querência,155873.63,42.0,décimo décimo,155873.63,100k+,510706
56886,2020,RN,São Bento do Norte,153580.64,43.0,décimo décimo,153580.64,100k+,241160
61187,2020,GO,Perolândia,151572.82,44.0,décimo décimo,151572.82,100k+,521645
60907,2020,MT,Diamantino,151414.28,45.0,décimo décimo,151414.28,100k+,510350
60357,2020,RS,Camargo,149400.18,46.0,décimo décimo,149400.18,100k+,430355
60121,2020,SC,Itajaí,148284.92,47.0,décimo décimo,148284.92,100k+,420820
57646,2020,BA,Formosa do Rio Preto,147092.01,48.0,décimo décimo,147092.01,100k+,291110
60973,2020,MT,Santa Carmem,146840.87,49.0,décimo décimo,146840.87,100k+,510724
58893,2020,RJ,Itatiaia,143113.69,50.0,décimo décimo,143113.69,100k+,330225
57863,2020,BA,São Desidério,141048.44,51.0,décimo décimo,141048.44,100k+,292890
58982,2020,SP,Araçariguama,140809.35,52.0,décimo décimo,140809.35,100k+,350275
60989,2020,MT,Sapezal,140079.54,53.0,décimo décimo,140079.54,100k+,510787
59448,2020,SP,Rosana,139866.39,54.0,décimo décimo,139866.39,100k+,354425
60013,2020,SC,Araquari,139432.89,55.0,décimo décimo,139432.89,100k+,420130
57228,2020,PE,Ipojuca,139391.96,56.0,décimo décimo,139391.96,100k+,260720
59225,2020,SP,Itupeva,135298.79,57.0,décimo décimo,135298.79,100k+,352400
59618,2020,PR,Araucária,134901.01,58.0,décimo décimo,134901.01,100k+,410180
61038,2020,GO,Barro Alto,133652.6,59.0,décimo décimo,133652.6,100k+,520320
59090,2020,SP,Cordeirópolis,132627.29,60.0,décimo décimo,132627.29,100k+,351240
59588,2020,SP,Vinhedo,130500.02,61.0,décimo décimo,130500.02,100k+,355670
60986,2020,MT,Santo Antônio do Leste,130294.04,62.0,décimo décimo,130294.04,100k+,510779
57421,2020,AL,Santana do Mundaú,129102.68,63.0,décimo décimo,129102.68,100k+,270810
60888,2020,MT,Campo Novo do Parecis,127547.83,64.0,décimo décimo,127547.83,100k+,510263
58448,2020,MG,Nova Lima,126993.16,65.0,décimo décimo,126993.16,100k+,314480
58291,2020,MG,Itabirito,126859.47,66.0,décimo décimo,126859.47,100k+,313190
59957,2020,PR,Saudade do Iguaçu,125803.78,67.0,décimo décimo,125803.78,100k+,412627
56863,2020,RN,Pedra Grande,124924.52,68.0,décimo décimo,124924.52,100k+,240950
59839,2020,PR,Ortigueira,123835.0,69.0,décimo décimo,123835.0,100k+,411730
58728,2020,MG,Tapira,122976.59,70.0,décimo décimo,122976.59,100k+,316810
59524,2020,SP,Sebastianópolis do Sul,122735.22,71.0,décimo décimo,122735.22,100k+,355130
58918,2020,RJ,Porto Real,121817.6,72.0,décimo décimo,121817.6,100k+,330411
58921,2020,RJ,Quissamã,121304.16,73.0,décimo décimo,121304.16,100k+,330415
59245,2020,SP,Jundiaí,121121.33,74.0,décimo décimo,121121.33,100k+,352590
59101,2020,SP,Cubatão,120940.49,75.0,décimo décimo,120940.49,100k+,351350
58965,2020,SP,Alumínio,119952.09,76.0,décimo décimo,119952.09,100k+,350115
56777,2020,RN,Bodó,119380.48,77.0,décimo décimo,119380.48,100k+,240165
61017,2020,GO,Alto Horizonte,119081.22,78.0,décimo décimo,119081.22,100k+,520055
59193,2020,SP,Ipeúna,118999.48,79.0,décimo décimo,118999.48,100k+,352110
60950,2020,MT,Novo São Joaquim,118329.95,80.0,décimo décimo,118329.95,100k+,510628
60281,2020,SC,Vargem Bonita,116313.83,81.0,décimo décimo,116313.83,100k+,421917
58465,2020,MG,Ouro Branco,114801.85,82.0,décimo décimo,114801.85,100k+,314590
59644,2020,PR,Cafelândia,113468.44,83.0,décimo décimo,113468.44,100k+,410345
57717,2020,BA,Jaborandi,113379.41,84.0,décimo décimo,113379.41,100k+,291735
60604,2020,RS,Pinhal da Serra,111781.67,85.0,décimo décimo,111781.67,100k+,431446
56934,2020,PB,Alhandra,111427.12,86.0,décimo décimo,111427.12,100k+,250060
60920,2020,MT,Itiquira,110925.03,87.0,décimo décimo,110925.03,100k+,510460
56209,2020,MA,Godofredo Viana,110710.83,88.0,décimo décimo,110710.83,100k+,210430
61186,2020,GO,Paraúna,110587.64,89.0,décimo décimo,110587.64,100k+,521640
60911,2020,MT,Gaúcha do Norte,110007.97,90.0,décimo décimo,110007.97,100k+,510385
56809,2020,RN,Guamaré,109101.78,91.0,décimo décimo,109101.78,100k+,240450
59339,2020,SP,Osasco,109025.6,92.0,décimo décimo,109025.6,100k+,353440
58667,2020,MG,São José da Barra,108329.2,93.0,décimo décimo,108329.2,100k+,316294
59284,2020,SP,Meridiano,106286.14,94.0,décimo décimo,106286.14,100k+,352960
56369,2020,PI,Baixa Grande do Ribeiro,105367.32,95.0,décimo décimo,105367.32,100k+,220115
59745,2020,PR,Indianópolis,104627.04,96.0,décimo décimo,104627.04,100k+,411040
59047,2020,SP,Cabreúva,104273.37,97.0,décimo décimo,104273.37,100k+,350840
57447,2020,SE,Canindé de São Francisco,103993.3,98.0,décimo décimo,103993.3,100k+,280120
60977,2020,MT,São José do Xingu,103985.03,99.0,décimo décimo,103985.03,100k+,510735
60758,2020,RS,Tupandi,102800.57,100.0,décimo décimo,102800.57,100k+,432225
60381,2020,RS,Carlos Barbosa,101799.46,101.0,décimo décimo,101799.46,100k+,430480
59076,2020,SP,Cássia dos Coqueiros,101646.04,102.0,décimo décimo,101646.04,100k+,351090
60988,2020,MT,São Félix do Araguaia,100626.93,103.0,décimo décimo,100626.93,100k+,510785
59462,2020,SP,Sandovalina,100309.54,104.0,décimo décimo,100309.54,100k+,354550
60372,2020,RS,Capão Bonito do Sul,100232.76,105.0,décimo décimo,100232.76,100k+,430462
60833,2020,MS,Jateí,99933.83,106.0,décimo décimo,99933.83,80k-100k,500510
60944,2020,MT,Nova Mutum,99281.53,107.0,décimo décimo,99281.53,80k-100k,510622
58994,2020,SP,Ariranha,99204.4,108.0,décimo décimo,99204.4,80k-100k,350370
60995,2020,MT,Tapurah,98438.6,109.0,décimo décimo,98438.6,80k-100k,510800
59474,2020,SP,Santa Gertrudes,98302.42,110.0,décimo décimo,98302.42,80k-100k,354670
60992,2020,MT,Sorriso,98278.56,111.0,décimo décimo,98278.56,80k-100k,510792
60836,2020,MS,Laguna Carapã,97817.25,112.0,décimo décimo,97817.25,80k-100k,500525
60270,2020,SC,Treze Tílias,96747.64,113.0,décimo décimo,96747.64,80k-100k,421850
59331,2020,SP,Nuporanga,96727.85,114.0,décimo décimo,96727.85,80k-100k,353360
59276,2020,SP,Marapoama,96543.8,115.0,décimo décimo,96543.8,80k-100k,352885
60999,2020,MT,União do Sul,96472.95,116.0,décimo décimo,96472.95,80k-100k,510830
61088,2020,GO,Edealina,95170.07,117.0,décimo décimo,95170.07,80k-100k,520735
59263,2020,SP,Luís Antônio,94852.81,118.0,décimo décimo,94852.81,80k-100k,352760
60298,2020,RS,Almirante Tamandaré do Sul,94337.32,119.0,décimo décimo,94337.32,80k-100k,430047
60865,2020,MS,Três Lagoas,94305.67,120.0,décimo décimo,94305.67,80k-100k,500830
61005,2020,MT,Nova Marilândia,94153.66,121.0,décimo décimo,94153.66,80k-100k,510885
59797,2020,PR,Mangueirinha,93856.18,122.0,décimo décimo,93856.18,80k-100k,411440
58817,2020,ES,Itapemirim,93609.55,123.0,décimo décimo,93609.55,80k-100k,320280
57218,2020,PE,Goiana,93304.73,124.0,décimo décimo,93304.73,80k-100k,260620
59934,2020,PR,Santo Inácio,93266.41,125.0,décimo décimo,93266.41,80k-100k,412450
58826,2020,ES,Marataízes,93156.7,126.0,décimo décimo,93156.7,80k-100k,320332
60814,2020,MS,Costa Rica,93009.6,127.0,décimo décimo,93009.6,80k-100k,500325
59034,2020,SP,Boracéia,92233.02,128.0,décimo décimo,92233.02,80k-100k,350730
60292,2020,RS,Água Santa,92000.57,129.0,décimo décimo,92000.57,80k-100k,430005
58125,2020,MG,Confins,91747.68,130.0,décimo décimo,91747.68,80k-100k,311787
60010,2020,SC,Antônio Carlos,91539.94,131.0,décimo décimo,91539.94,80k-100k,420120
60651,2020,RS,Santa Bárbara do Sul,91502.62,132.0,décimo décimo,91502.62,80k-100k,431670
61006,2020,MT,Nova Maringá,90324.97,133.0,décimo décimo,90324.97,80k-100k,510890
58742,2020,MG,Três Marias,90315.57,134.0,décimo décimo,90315.57,80k-100k,316935
56026,2020,TO,Cariri do Tocantins,89401.02,135.0,décimo décimo,89401.02,80k-100k,170386
60238,2020,SC,São Francisco do Sul,88536.78,136.0,décimo décimo,88536.78,80k-100k,421620
58916,2020,RJ,Piraí,88440.87,137.0,décimo décimo,88440.87,80k-100k,330400
56569,2020,PI,Uruçuí,88333.18,138.0,décimo décimo,88333.18,80k-100k,221120
60483,2020,RS,Horizontina,88066.79,139.0,décimo décimo,88066.79,80k-100k,430960
60919,2020,MT,Itaúba,88050.54,140.0,décimo décimo,88050.54,80k-100k,510455
59662,2020,PR,Capitão Leônidas Marques,88037.48,141.0,décimo décimo,88037.48,80k-100k,410460
61178,2020,GO,Ouvidor,87996.06,142.0,décimo décimo,87996.06,80k-100k,521550
60336,2020,RS,Boa Vista do Cadeado,87822.58,143.0,décimo décimo,87822.58,80k-100k,430222
60874,2020,MT,Alto Taquari,87586.68,144.0,décimo décimo,87586.68,80k-100k,510060
60299,2020,RS,Alpestre,87494.79,145.0,décimo décimo,87494.79,80k-100k,430050
58687,2020,MG,São Sebastião do Oeste,87340.22,146.0,décimo décimo,87340.22,80k-100k,316460
60793,2020,MS,Angélica,87104.16,147.0,décimo décimo,87104.16,80k-100k,500085
61243,2020,GO,Turvelândia,87061.08,148.0,décimo décimo,87061.08,80k-100k,522155
61254,2020,DF,Brasília,87016.16,149.0,décimo décimo,87016.16,80k-100k,530010
59497,2020,SP,São Caetano do Sul,86200.01,150.0,décimo décimo,86200.01,80k-100k,354880
60929,2020,MT,Lucas do Rio Verde,85997.55,151.0,décimo décimo,85997.55,80k-100k,510525
58278,2020,MG,Indianópolis,85864.34,152.0,décimo décimo,85864.34,80k-100k,313070
59237,2020,SP,Jarinu,85036.05,153.0,décimo décimo,85036.05,80k-100k,352520
59893,2020,PR,Rancho Alegre D'Oeste,84957.35,154.0,décimo décimo,84957.35,80k-100k,412135
59911,2020,PR,Sabáudia,84920.38,155.0,décimo décimo,84920.38,80k-100k,412270
56049,2020,TO,Tabocão,84696.24,156.0,décimo décimo,84696.24,80k-100k,170825
57582,2020,BA,Camaçari,84446.59,157.0,décimo décimo,84446.59,80k-100k,290570
59642,2020,PR,Brasilândia do Sul,84215.69,158.0,décimo décimo,84215.69,80k-100k,410337
60993,2020,MT,Tabaporã,84126.49,159.0,décimo décimo,84126.49,80k-100k,510794
59197,2020,SP,Iracemápolis,83999.44,160.0,décimo décimo,83999.44,80k-100k,352140
59168,2020,SP,Holambra,83921.94,161.0,décimo décimo,83921.94,80k-100k,351905
58996,2020,SP,Arujá,83735.27,162.0,décimo décimo,83735.27,80k-100k,350390
56068,2020,TO,Mateiros,83560.61,163.0,décimo décimo,83560.61,80k-100k,171270
56737,2020,CE,São Gonçalo do Amarante,83473.11,164.0,décimo décimo,83473.11,80k-100k,231240
59846,2020,PR,Palotina,83297.04,165.0,décimo décimo,83297.04,80k-100k,411790
60892,2020,MT,Canarana,83080.36,166.0,décimo décimo,83080.36,80k-100k,510270
56029,2020,TO,Caseara,82489.74,167.0,décimo décimo,82489.74,80k-100k,170390
60884,2020,MT,Bom Jesus do Araguaia,82265.83,168.0,décimo décimo,82265.83,80k-100k,510185
60966,2020,MT,Primavera do Leste,82104.29,169.0,décimo décimo,82104.29,80k-100k,510704
60852,2020,MS,Rio Brilhante,81737.49,170.0,décimo décimo,81737.49,80k-100k,500720
60810,2020,MS,Chapadão do Sul,81731.25,171.0,décimo décimo,81731.25,80k-100k,500295
60657,2020,RS,Santa Margarida do Sul,81723.79,172.0,décimo décimo,81723.79,80k-100k,431697
59033,2020,SP,Borá,81601.28,173.0,décimo décimo,81601.28,80k-100k,350720
60436,2020,RS,Entre Rios do Sul,81427.54,174.0,décimo décimo,81427.54,80k-100k,430695
58253,2020,MG,Guarda-Mor,81264.99,175.0,décimo décimo,81264.99,80k-100k,312860
59639,2020,PR,Bom Sucesso do Sul,80669.52,176.0,décimo décimo,80669.52,80k-100k,410322
57935,2020,MG,Água Comprida,80179.75,177.0,décimo décimo,80179.75,80k-100k,310070
59257,2020,SP,Lins,80130.32,178.0,décimo décimo,80130.32,80k-100k,352710
59807,2020,PR,Maripá,80026.33,179.0,décimo décimo,80026.33,80k-100k,411535
60654,2020,RS,Santa Cruz do Sul,79888.73,180.0,décimo décimo,79888.73,70k-80k,431680
59368,2020,SP,Pedregulho,79768.4,181.0,décimo décimo,79768.4,70k-80k,353700
56528,2020,PI,Santa Filomena,79755.28,182.0,décimo décimo,79755.28,70k-80k,220920
60842,2020,MS,Nova Alvorada do Sul,79495.66,183.0,décimo décimo,79495.66,70k-80k,500600
58907,2020,RJ,Niterói,79464.67,184.0,décimo décimo,79464.67,70k-80k,330330
59692,2020,PR,Diamante do Norte,79100.78,185.0,décimo décimo,79100.78,70k-80k,410710
58052,2020,MG,Campo Florido,79067.52,186.0,décimo décimo,79067.52,70k-80k,311140
58450,2020,MG,Nova Ponte,79020.94,187.0,décimo décimo,79020.94,70k-80k,314500
60798,2020,MS,Bandeirantes,78916.43,188.0,décimo décimo,78916.43,70k-80k,500150
60889,2020,MT,Campo Verde,78730.21,189.0,décimo décimo,78730.21,70k-80k,510267
58509,2020,MG,Perdizes,78049.11,190.0,décimo décimo,78049.11,70k-80k,314980
57746,2020,BA,Luís Eduardo Magalhães,77935.76,191.0,décimo décimo,77935.76,70k-80k,291955
59125,2020,SP,Estrela d'Oeste,77794.8,192.0,décimo décimo,77794.8,70k-80k,351520
60469,2020,RS,Gentil,77775.17,193.0,décimo décimo,77775.17,70k-80k,430885
59360,2020,SP,Patrocínio Paulista,77726.47,194.0,décimo décimo,77726.47,70k-80k,353630
59230,2020,SP,Jaci,77724.7,195.0,décimo décimo,77724.7,70k-80k,352450
60797,2020,MS,Aral Moreira,77539.3,196.0,décimo décimo,77539.3,70k-80k,500124
59849,2020,PR,Paranaguá,77282.41,197.0,décimo décimo,77282.41,70k-80k,411820
60558,2020,RS,Não-Me-Toque,77209.15,198.0,décimo décimo,77209.15,70k-80k,431265
59937,2020,PR,São João,76843.74,199.0,décimo décimo,76843.74,70k-80k,412480
60837,2020,MS,Maracaju,76639.22,200.0,décimo décimo,76639.22,70k-80k,500540
59982,2020,PR,Ubiratã,76598.44,201.0,décimo décimo,76598.44,70k-80k,412800
59964,2020,PR,Tamarana,76484.83,202.0,décimo décimo,76484.83,70k-80k,412667
59883,2020,PR,Quarto Centenário,76476.19,203.0,décimo décimo,76476.19,70k-80k,412065
56061,2020,TO,Lagoa da Confusão,76362.0,204.0,décimo décimo,76362.0,70k-80k,171190
59696,2020,PR,Douradina,76341.42,205.0,décimo décimo,76341.42,70k-80k,410725
60000,2020,SC,Água Doce,76341.09,206.0,décimo décimo,76341.09,70k-80k,420040
60334,2020,RS,Boa Vista das Missões,76052.96,207.0,décimo décimo,76052.96,70k-80k,430215
56855,2020,RN,Parazinho,76046.11,208.0,décimo décimo,76046.11,70k-80k,240880
55895,2020,PA,Jacareacanga,75936.8,209.0,décimo décimo,75936.8,70k-80k,150375
56465,2020,PI,Lagoa do Barro do Piauí,75766.6,210.0,décimo décimo,75766.6,70k-80k,220556
61155,2020,GO,Montividiu,75616.84,211.0,décimo décimo,75616.84,70k-80k,521375
61060,2020,GO,Campo Alegre de Goiás,75156.84,212.0,décimo décimo,75156.84,70k-80k,520480
60090,2020,SC,Garuva,75137.66,213.0,décimo décimo,75137.66,70k-80k,420580
57235,2020,PE,Itapissuma,74728.89,214.0,décimo décimo,74728.89,70k-80k,260775
61002,2020,MT,Vera,74533.43,215.0,décimo décimo,74533.43,70k-80k,510850
57623,2020,BA,Correntina,74502.09,216.0,décimo décimo,74502.09,70k-80k,290930
60647,2020,RS,Salto do Jacuí,74468.59,217.0,décimo décimo,74468.59,70k-80k,431645
59537,2020,SP,Suzanápolis,73946.17,218.0,décimo décimo,73946.17,70k-80k,355255
60598,2020,RS,Pedras Altas,73937.2,219.0,décimo décimo,73937.2,70k-80k,431417
60885,2020,MT,Brasnorte,73667.83,220.0,décimo décimo,73667.83,70k-80k,510190
59110,2020,SP,Dourado,73574.6,221.0,décimo décimo,73574.6,70k-80k,351430
60918,2020,MT,Itanhangá,73529.36,222.0,décimo décimo,73529.36,70k-80k,510454
60159,2020,SC,Mondaí,73494.72,223.0,décimo décimo,73494.72,70k-80k,421100
61028,2020,GO,Aporé,73022.16,224.0,décimo décimo,73022.16,70k-80k,520150
60451,2020,RS,Eugênio de Castro,72951.39,225.0,décimo décimo,72951.39,70k-80k,430783
59001,2020,SP,Avaí,72824.31,226.0,décimo décimo,72824.31,70k-80k,350430
61189,2020,GO,Pilar de Goiás,72702.45,227.0,décimo décimo,72702.45,70k-80k,521690
60529,2020,RS,Maçambará,72690.82,228.0,décimo décimo,72690.82,70k-80k,431171
59826,2020,PR,Nova Aurora,72325.0,229.0,décimo décimo,72325.0,70k-80k,411670
59337,2020,SP,Orindiúva,71673.06,230.0,décimo décimo,71673.06,70k-80k,353420
59187,2020,SP,Indaiatuba,71595.73,231.0,décimo décimo,71595.73,70k-80k,352050
56294,2020,MA,Sambaíba,71458.76,232.0,décimo décimo,71458.76,70k-80k,210970
59703,2020,PR,Farol,71406.53,233.0,décimo décimo,71406.53,70k-80k,410755
60896,2020,MT,Cláudia,70765.18,234.0,décimo décimo,70765.18,70k-80k,510305
58683,2020,MG,São Sebastião da Bela Vista,70688.08,235.0,décimo décimo,70688.08,70k-80k,316440
57615,2020,BA,Conceição do Jacuípe,70091.83,236.0,décimo décimo,70091.83,70k-80k,290850
61033,2020,GO,Arenópolis,70062.81,237.0,décimo décimo,70062.81,70k-80k,520235
60411,2020,RS,Coxilha,70013.59,238.0,décimo décimo,70013.59,70k-80k,430597
60613,2020,RS,Pontão,69963.88,239.0,décimo décimo,69963.88,60k-70k,431477
60872,2020,MT,Alto Garças,69913.81,240.0,décimo décimo,69913.81,60k-70k,510040
60566,2020,RS,Nova Candelária,69866.48,241.0,décimo décimo,69866.48,60k-70k,431301
60374,2020,RS,Capão do Cipó,69668.02,242.0,décimo décimo,69668.02,60k-70k,430465
58859,2020,ES,Vitória,69628.4,243.0,décimo décimo,69628.4,60k-70k,320530
60065,2020,SC,Cordilheira Alta,69620.13,244.0,décimo décimo,69620.13,60k-70k,420435
59480,2020,SP,Santana de Parnaíba,69580.95,245.0,décimo décimo,69580.95,60k-70k,354730
57995,2020,MG,Belo Oriente,69522.13,246.0,décimo décimo,69522.13,60k-70k,310630
59021,2020,SP,Bento de Abreu,69395.89,247.0,décimo décimo,69395.89,60k-70k,350620
55727,2020,RO,Pimenteiras do Oeste,69296.61,248.0,décimo décimo,69296.61,60k-70k,110146
59715,2020,PR,Foz do Iguaçu,69247.4,249.0,décimo décimo,69247.4,60k-70k,410830
58308,2020,MG,Itapeva,69091.44,250.0,décimo décimo,69091.44,60k-70k,313360
59788,2020,PR,Luiziana,68992.36,251.0,décimo décimo,68992.36,60k-70k,411373
60788,2020,MS,Água Clara,68741.96,252.0,décimo décimo,68741.96,60k-70k,500020
59632,2020,PR,Boa Esperança,68257.95,253.0,décimo décimo,68257.95,60k-70k,410300
59670,2020,PR,Céu Azul,68194.17,254.0,décimo décimo,68194.17,60k-70k,410530
59398,2020,SP,Pompéia,67957.72,255.0,décimo décimo,67957.72,60k-70k,354000
60573,2020,RS,Nova Ramada,67719.31,256.0,décimo décimo,67719.31,60k-70k,431333
60857,2020,MS,São Gabriel do Oeste,67683.04,257.0,décimo décimo,67683.04,60k-70k,500769
59185,2020,SP,Ilha Comprida,67679.22,258.0,décimo décimo,67679.22,60k-70k,352042
59488,2020,SP,Santo Antônio de Posse,67655.55,259.0,décimo décimo,67655.55,60k-70k,354800
59764,2020,PR,Jaguapitã,67490.69,260.0,décimo décimo,67490.69,60k-70k,411190
60906,2020,MT,Denise,67443.09,261.0,décimo décimo,67443.09,60k-70k,510345
60267,2020,SC,Três Barras,67414.17,262.0,décimo décimo,67414.17,60k-70k,421830
61149,2020,GO,Mimoso de Goiás,67176.93,263.0,décimo décimo,67176.93,60k-70k,521305
61118,2020,GO,Ipameri,67165.71,264.0,décimo décimo,67165.71,60k-70k,521010
60844,2020,MS,Novo Horizonte do Sul,67079.65,265.0,décimo décimo,67079.65,60k-70k,500625
61077,2020,GO,Corumbaíba,66819.97,266.0,décimo décimo,66819.97,60k-70k,520590
59946,2020,PR,São José dos Pinhais,66783.4,267.0,décimo décimo,66783.4,60k-70k,412550
59885,2020,PR,Quatro Barras,66738.55,268.0,décimo décimo,66738.55,60k-70k,412080
59385,2020,SP,Piracicaba,66722.37,269.0,décimo décimo,66722.37,60k-70k,353870
60052,2020,SC,Campos Novos,66661.29,270.0,décimo décimo,66661.29,60k-70k,420360
60786,2020,RS,Westfália,66645.49,271.0,décimo décimo,66645.49,60k-70k,432377
59086,2020,SP,Colina,66477.77,272.0,décimo décimo,66477.77,60k-70k,351200
59169,2020,SP,Hortolândia,66378.26,273.0,décimo décimo,66378.26,60k-70k,351907
56420,2020,PI,Currais,66303.65,274.0,décimo décimo,66303.65,60k-70k,220323
61230,2020,GO,São Simão,66270.59,275.0,décimo décimo,66270.59,60k-70k,522040
59960,2020,PR,Sertaneja,66225.62,276.0,décimo décimo,66225.62,60k-70k,412640
57345,2020,AL,Branquinha,66043.78,277.0,décimo décimo,66043.78,60k-70k,270110
60305,2020,RS,André da Rocha,65980.12,278.0,décimo décimo,65980.12,60k-70k,430066
57775,2020,BA,Mucugê,65937.26,279.0,décimo décimo,65937.26,60k-70k,292190
61089,2020,GO,Edéia,65810.24,280.0,décimo décimo,65810.24,60k-70k,520740
60443,2020,RS,Esmeralda,65686.13,281.0,décimo décimo,65686.13,60k-70k,430740
60952,2020,MT,Paranatinga,65549.7,282.0,décimo décimo,65549.7,60k-70k,510630
60039,2020,SC,Botuverá,65548.08,283.0,décimo décimo,65548.08,60k-70k,420270
58889,2020,RJ,Itaguaí,65543.64,284.0,décimo décimo,65543.64,60k-70k,330200
61066,2020,GO,Catalão,65498.1,285.0,décimo décimo,65498.1,60k-70k,520510
59459,2020,SP,Salto,65188.56,286.0,décimo décimo,65188.56,60k-70k,354520
58302,2020,MG,Itamonte,65183.75,287.0,décimo décimo,65183.75,60k-70k,313300
55985,2020,AP,Ferreira Gomes,65169.94,288.0,décimo décimo,65169.94,60k-70k,160023
58947,2020,RJ,Três Rios,65103.57,289.0,décimo décimo,65103.57,60k-70k,330600
60191,2020,SC,Pinhalzinho,64994.86,290.0,décimo décimo,64994.86,60k-70k,421290
60465,2020,RS,Garibaldi,64973.33,291.0,décimo décimo,64973.33,60k-70k,430860
60564,2020,RS,Nova Boa Vista,64948.62,292.0,décimo décimo,64948.62,60k-70k,431295
60956,2020,MT,Planalto da Serra,64890.86,293.0,décimo décimo,64890.86,60k-70k,510645
59994,2020,PR,Vitorino,64743.24,294.0,décimo décimo,64743.24,60k-70k,412870
60195,2020,SC,Pomerode,64601.95,295.0,décimo décimo,64601.95,60k-70k,421320
59942,2020,PR,São Jorge do Ivaí,64411.43,296.0,décimo décimo,64411.43,60k-70k,412530
60241,2020,SC,São João do Itaperiú,64366.61,297.0,décimo décimo,64366.61,60k-70k,421635
60131,2020,SC,Joaçaba,64260.58,298.0,décimo décimo,64260.58,60k-70k,420900
60575,2020,RS,Nova Santa Rita,64097.59,299.0,décimo décimo,64097.59,60k-70k,431337
59653,2020,PR,Campo Bonito,63941.17,300.0,décimo décimo,63941.17,60k-70k,410405
58522,2020,MG,Pirajuba,63887.49,301.0,décimo décimo,63887.49,60k-70k,315070
60192,2020,SC,Pinheiro Preto,63870.82,302.0,décimo décimo,63870.82,60k-70k,421300
