Municipio;valor_2013;valor_2014;valor_2015;valor_2016;valor_2017;valor_2018;valor_2019;valor_2020;valor_2021;valor_2022;valor_Total;valor2_2013;valor2_2014;valor2_2015;valor2_2016;valor2_2017;valor2_2018;valor2_2019;valor2_2020;valor2_2021;valor2_2022;valor2_Total;valor3_2013;valor3_2014;valor3_2015;valor3_2016;valor3_2017;valor3_2018;valor3_2019;valor3_2020;valor3_2021;valor3_2022;valor3_Total;valor4_2013;valor4_2014;valor4_2015;valor4_2016;valor4_2017;valor4_2018;valor4_2019;valor4_2020;valor4_2021;valor4_2022;valor4_Total;valor5_2013;valor5_2014;valor5_2015;valor5_2016;valor5_2017;valor5_2018;valor5_2019;valor5_2020;valor5_2021;valor5_2022;valor5_Total;AIH_2013;AIH_2014;AIH_2015;AIH_2016;AIH_2017;AIH_2018;AIH_2019;AIH_2020;AIH_2021;AIH_2022;AIH_Total;AIH1_2013;AIH1_2014;AIH1_2015;AIH1_2016;AIH1_2017;AIH1_2018;AIH1_2019;AIH1_2020;AIH1_2021;AIH1_2022;AIH1_Total;AIH2_2013;AIH2_2014;AIH2_2015;AIH2_2016;AIH2_2017;AIH2_2018;AIH2_2019;AIH2_2020;AIH2_2021;AIH2_2022;AIH2_Total;AIH3_2013;AIH3_2014;AIH3_2015;AIH3_2016;AIH3_2017;AIH3_2018;AIH3_2019;AIH3_2020;AIH3_2021;AIH3_2022;AIH3_Total;AIH4_2013;AIH4_2014;AIH4_2015;AIH4_2016;AIH4_2017;AIH4_2018;AIH4_2019;AIH4_2020;AIH4_2021;AIH4_2022;AIH4_Total;AIH5_2013;AIH5_2014;AIH5_2015;AIH5_2016;AIH5_2017;AIH5_2018;AIH5_2019;AIH5_2020;AIH5_2021;AIH5_2022;AIH5_Total;obito_2013;obito_2014;obito_2015;obito_2016;obito_2017;obito_2018;obito_2019;obito_2020;obito_2021;obito_2022;obito_Total;mortalidade_2013;mortalidade_2014;mortalidade_2015;mortalidade_2016;mortalidade_2017;mortalidade_2018;mortalidade_2019;mortalidade_2020;mortalidade_2021;mortalidade_2022;mortalidade_Total;dias_2013;dias_2014;dias_2015;dias_2016;dias_2017;dias_2018;dias_2019;dias_2020;dias_2021;dias_2022;dias_Total
110011 JARU;985848.89;711961.19;798611.93;1056372.62;938415.68;1418218.16;1479977.3;1890145.01;3838606.73;1982544.2;15100701.71;;;;;;;;;;;;580125.51;508244.57;535803.2;642827.68;607230.01;782981.2;885727.74;1412753.62;3358391.63;1181195.65;10495280.81;405723.38;203716.62;262808.73;413544.94;331185.67;635236.96;594249.56;477391.39;480215.1;801348.55;4605420.9;;;;;;;;;;;;3058;2573;2671;3021;2584;3411;3473;2651;3012;3296;29750;;;;;;;;;;;;;;;;;;;;;;;2320;2161;2094;2173;1950;2305;2433;1840;2213;2115;21604;738;412;577;848;634;1106;1040;811;799;1181;8146;;;;;;;;;;;;26;29;24;31;38;56;51;71;139;78;543;0.85;1.13;0.9;1.03;1.47;1.64;1.47;2.68;4.61;2.37;1.83;6075;5178;5737;7163;5870;7692;8005;6646;10233;9924;72523
110012 JIPARANA;4789071.63;4843930.92;4873525.5;4845468.07;4220213.06;4326124.44;4154410.18;3839172.46;10387107.29;8964980.29;55244003.84;114.36;;;;;114.36;;;;602.39;831.11;3469184.18;3424294.85;3283840.03;3231270.78;2735943.9;2833068.4;2508746.24;2667157.87;8615022.35;5187260.4;37955789;1319773.09;1418401.07;1589685.47;1614197.29;1484269.16;1492941.68;1645663.94;1172014.59;1772084.94;3777117.5;17286148.73;;1235;;;;;;;;;1235;9269;9573;9394;8957;7611;7941;7971;5859;7995;8826;83396;1;;;;;1;;;;1;3;1;;;;;1;;;;1;3;6904;6983;6579;6182;5030;5318;5020;3825;5206;5174;56221;2364;2589;2815;2775;2581;2622;2951;2034;2789;3651;27171;;1;;;;;;;;;1;265;173;193;226;220;228;181;210;396;369;2461;2.86;1.81;2.05;2.52;2.89;2.87;2.27;3.58;4.95;4.18;2.95;30856;30667;30244;28729;23123;25576;24690;19358;31259;37051;281553
110013 MACHADINHO D'OESTE;537195.59;476821.48;209134.49;;358285.52;748233.49;732871.43;643059.98;715765.8;719614.4;5140982.18;;;;;;;;;;;;359437.87;318689.4;163929.83;;301535.09;545712.44;587641.67;450975.47;594547.37;464473.69;3786942.83;177757.72;158132.08;45204.66;;56750.43;202521.05;145229.76;192084.51;121218.43;255140.71;1354039.35;;;;;;;;;;;;1429;1288;557;;865;1604;1830;1367;1128;1728;11796;;;;;;;;;;;;;;;;;;;;;;;1084;985;481;;762;1218;1564;1026;901;1281;9302;345;303;76;;103;386;266;341;227;447;2494;;;;;;;;;;;;3;6;6;;9;21;20;25;44;24;158;0.21;0.47;1.08;;1.04;1.31;1.09;1.83;3.9;1.39;1.34;3190;3100;1218;;1984;4263;4385;3284;2875;4633;28932
110014 NOVA BRASILANDIA D'OESTE;507111.8;485172.02;40989.47;367114.46;307684.36;266327.76;311828.93;194248.49;459018.24;483250.94;3422746.47;;;;;;;;;;;;498925;485172.02;40989.47;363613.56;307138.63;204787.11;141084.17;169134.71;309618.21;299543.45;2820006.33;8186.8;;;3500.9;545.73;61540.65;170744.76;25113.78;149400.03;183707.49;602740.14;;;;;;;;;;;;1548;1548;126;1176;988;794;782;473;785;1167;9387;;;;;;;;;;;;;;;;;;;;;;;1531;1548;126;1167;987;676;445;422;478;786;8166;17;;;9;1;118;337;51;307;381;1221;;;;;;;;;;;;10;14;;12;15;8;10;16;16;17;118;0.65;0.9;;1.02;1.52;1.01;1.28;3.38;2.04;1.46;1.26;4779;4749;272;3352;2866;2263;2067;1456;2181;3491;27476
110015 OURO PRETO DO OESTE;1222625.44;955888.17;1016753.23;1159460.98;1031964.43;1215315.93;1221019.77;1206281.45;1674853.7;1685383.03;12389546.13;;;;;;;;126.09;;;126.09;790978.07;613219.85;671594.94;671707.66;587912.92;780447.4;849452.16;765510.83;1070117.7;844981.51;7645923.04;431647.37;342668.32;345158.29;487753.32;444051.51;434868.53;371241.61;440159.53;604736;840401.52;4742686;;;;;;;326;485;;;811;3629;2792;2802;2755;2370;2672;2691;2217;2569;2923;27420;;;;;;;;1;;;1;;;;;;;;1;;;1;2825;2147;2161;1951;1636;1961;2053;1459;1578;1692;19463;804;645;641;804;734;711;636;754;991;1231;7951;;;;;;;2;3;;;5;40;36;37;50;64;49;80;39;45;44;484;1.1;1.29;1.32;1.81;2.7;1.83;2.97;1.76;1.75;1.51;1.77;6314;6357;5934;5619;5904;7120;7422;5982;6657;7716;65025
110018 PIMENTA BUENO;508696.81;478311.75;477219.28;528794.85;730179.66;1067093.9;931316.43;1102210.85;1351369.7;1539272.18;8714465.41;;;;;;;;;;;;464712.66;426906.42;391752.84;360217.7;483013.57;855856.72;732614.19;883450.33;1189968.02;1105622.2;6894114.65;43984.15;51405.33;85466.44;168577.15;247166.09;211237.18;198702.24;218760.52;161401.68;433649.98;1820350.76;;;;;;;;;;;;2413;2287;2188;2448;2878;3205;2820;3224;2707;3820;27990;;;;;;;;;;;;;;;;;;;;;;;2321;2181;2029;2151;2456;2824;2479;2829;2414;3190;24874;92;106;159;297;422;381;341;395;293;630;3116;;;;;;;;;;;;36;35;24;30;35;40;39;60;85;55;439;1.49;1.53;1.1;1.23;1.22;1.25;1.38;1.86;3.14;1.44;1.57;4393;4120;3835;4029;4981;5368;4795;5626;5764;6995;49906
110020 PORTO VELHO;35960089.05;45490235.98;53574275.12;58647762.78;58962234.45;62793559.4;68737391.7;70894065.17;87102622.66;73083149.12;615245385.4;8713.68;12494.05;41259.95;33532.6;18945.33;34029.23;24531.81;29091.71;23123.11;18392.19;244113.66;21209550.96;26420576.61;30961875.56;35250901.46;34611051.95;34758508.86;39974203.98;46304558.57;60396495.21;45212617.12;375100340.3;14696023.88;18760591.25;22134940.99;22798211.66;23346918.9;27328782.42;27954381.51;24328052.56;26529498.72;27531132.92;235408534.8;45800.53;296574.07;436198.62;565117.06;985318.27;672238.89;784274.4;232362.33;153505.62;321006.89;4492396.68;37319;39957;41704;44364;41541;44830;47555;45043;49815;46566;438694;27;24;45;59;25;34;53;39;99;35;440;27;24;45;59;25;34;53;39;99;35;440;23132;24053;24340;26308;23244;24168;27372;28996;32475;30215;264303;14143;15824;17236;17849;18078;20408;19932;15865;17116;16124;172575;17;56;83;148;194;220;198;143;125;192;1376;1368;1701;1761;1774;1626;1561;1693;2079;2680;1867;18110;3.67;4.26;4.22;4;3.91;3.48;3.56;4.62;5.38;4.01;4.13;273122;273246;298681;313156;289065;299621;337075;290402;303210;310190;2987768
110025 PRESIDENTE MEDICI;275506.57;234016.21;244300.11;235322.01;416596.03;385873.08;399477.13;268306.61;511589.87;311744.59;3282732.21;;;;;;;;;;;;269640.57;226794.99;239610.9;177555.03;204664.52;187177.25;212394.37;134919.36;406595.32;136265.27;2195617.58;5866;7221.22;4689.21;57766.98;211931.51;198695.83;187082.76;133387.25;104994.55;175479.32;1087114.63;;;;;;;;;;;;806;646;676;600;997;963;944;579;703;618;7532;;;;;;;;;;;;;;;;;;;;;;;784;621;658;473;586;602;599;345;537;332;5537;22;25;18;127;411;361;345;234;166;286;1995;;;;;;;;;;;;9;8;13;9;13;12;22;29;39;19;173;1.12;1.24;1.92;1.5;1.3;1.25;2.33;5.01;5.55;3.07;2.3;2557;2292;2451;2144;3719;3053;3811;1689;2482;2041;26239
110026 RIO CRESPO;;22413.12;15474.4;;3388.67;4273.78;5376.78;3380.44;1929.66;;56236.85;;;;;;;;;;;;;22413.12;15474.4;;3388.67;4273.78;5376.78;3380.44;1929.66;;56236.85;;;;;;;;;;;;;;;;;;;;;;;;93;45;;71;91;116;72;43;;531;;;;;;;;;;;;;;;;;;;;;;;;93;45;;71;91;116;72;43;;531;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;3;;;;;1.41;;0.86;1.39;;;0.56;;63;84;;107;142;133;115;361;;1005
110028 ROLIM DE MOURA;1328841.25;1576568.54;1684410.58;1013497.3;1708236.9;1494723.14;1661865.82;1304508.39;1719150.69;1304414.92;14796217.53;;;;;;;;;;;;1120686.95;1411852.11;1551024.2;893564.15;967953.19;761312.72;820369.77;594652.91;1065065.03;543353.79;9729834.82;208154.3;164716.43;133386.38;119933.15;740283.71;733410.42;841496.05;709855.48;654085.66;761061.13;5066382.71;;;;;;;;;;;;3984;5509;5494;3855;4503;3946;4554;3357;2874;3021;41097;;;;;;;;;;;;;;;;;;;;;;;3505;5067;5131;3552;3402;2842;3250;2239;1871;1844;32703;479;442;363;303;1101;1104;1304;1118;1003;1177;8394;;;;;;;;;;;;38;35;32;23;45;35;56;33;55;52;404;0.95;0.64;0.58;0.6;1;0.89;1.23;0.98;1.91;1.72;0.98;9580;12424;12632;8063;9788;8236;10016;7272;6648;7093;91752
