Municipio;valor_2013;valor_2014;valor_2015;valor_2016;valor_2017;valor_2018;valor_2019;valor_2020;valor_2021;valor_2022;valor_Total;valor2_2013;valor2_2014;valor2_2015;valor2_2016;valor2_2017;valor2_2018;valor2_2019;valor2_2020;valor2_2021;valor2_2022;valor2_Total;valor3_2013;valor3_2014;valor3_2015;valor3_2016;valor3_2017;valor3_2018;valor3_2019;valor3_2020;valor3_2021;valor3_2022;valor3_Total;valor4_2013;valor4_2014;valor4_2015;valor4_2016;valor4_2017;valor4_2018;valor4_2019;valor4_2020;valor4_2021;valor4_2022;valor4_Total;valor5_2013;valor5_2014;valor5_2015;valor5_2016;valor5_2017;valor5_2018;valor5_2019;valor5_2020;valor5_2021;valor5_2022;valor5_Total;AIH_2013;AIH_2014;AIH_2015;AIH_2016;AIH_2017;AIH_2018;AIH_2019;AIH_2020;AIH_2021;AIH_2022;AIH_Total;AIH1_2013;AIH1_2014;AIH1_2015;AIH1_2016;AIH1_2017;AIH1_2018;AIH1_2019;AIH1_2020;AIH1_2021;AIH1_2022;AIH1_Total;AIH2_2013;AIH2_2014;AIH2_2015;AIH2_2016;AIH2_2017;AIH2_2018;AIH2_2019;AIH2_2020;AIH2_2021;AIH2_2022;AIH2_Total;AIH3_2013;AIH3_2014;AIH3_2015;AIH3_2016;AIH3_2017;AIH3_2018;AIH3_2019;AIH3_2020;AIH3_2021;AIH3_2022;AIH3_Total;AIH4_2013;AIH4_2014;AIH4_2015;AIH4_2016;AIH4_2017;AIH4_2018;AIH4_2019;AIH4_2020;AIH4_2021;AIH4_2022;AIH4_Total;AIH5_2013;AIH5_2014;AIH5_2015;AIH5_2016;AIH5_2017;AIH5_2018;AIH5_2019;AIH5_2020;AIH5_2021;AIH5_2022;AIH5_Total;obito_2013;obito_2014;obito_2015;obito_2016;obito_2017;obito_2018;obito_2019;obito_2020;obito_2021;obito_2022;obito_Total;mortalidade_2013;mortalidade_2014;mortalidade_2015;mortalidade_2016;mortalidade_2017;mortalidade_2018;mortalidade_2019;mortalidade_2020;mortalidade_2021;mortalidade_2022;mortalidade_Total;dias_2013;dias_2014;dias_2015;dias_2016;dias_2017;dias_2018;dias_2019;dias_2020;dias_2021;dias_2022;dias_Total
241470 VARZEA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241475 VENHAVER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241480 VERA CRUZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241490 VICOSA;;8363.68;13188.14;19472.03;12395.31;401.25;221.69;2027.73;6830.9;9762.92;72663.65;;;;;;;;;;;;;8363.68;13188.14;19472.03;12395.31;401.25;221.69;2027.73;6830.9;9762.92;72663.65;;;;;;;;;;;;;;;;;;;;;;;;24;39;54;33;2;2;13;21;25;213;;;;;;;;;;;;;;;;;;;;;;;;24;39;54;33;2;2;13;21;25;213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;134;190;118;8;3;23;41;33;643
241500 VILA FLOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 MUNICIPIO IGNORADO  PB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250010 AGUA BRANCA;166356.47;123774.02;53223.95;26544.43;38701.91;85414.72;67663.59;50795.62;59855.91;55625.21;727955.83;;;;;;;;;;;;166356.47;123774.02;53223.95;26544.43;38701.91;85414.72;67663.59;50795.62;59855.91;55625.21;727955.83;;;;;;;;;;;;;;;;;;;;;;;506;358;146;72;104;230;177;138;150;158;2039;;;;;;;;;;;;;;;;;;;;;;;506;358;146;72;104;230;177;138;150;158;2039;;;;;;;;;;;;;;;;;;;;;;;4;3;;1;;;1;;1;;10;0.79;0.84;;1.39;;;0.56;;0.67;;0.49;1165;905;324;146;336;639;508;406;556;648;5633
250020 AGUIAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250030 ALAGOA GRANDE;;;;;;;;;;17599.68;17599.68;;;;;;;;;;;;;;;;;;;;;8868;8868;;;;;;;;;;8731.68;8731.68;;;;;;;;;;;;;;;;;;;;;36;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;20;;;;;;;;;;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;66
250040 ALAGOA NOVA;70898.33;95380.42;92342.7;62432.9;99942.59;68969.43;79865.83;69636.96;89226.52;166583.52;895279.2;;;;;;;;;;;;70898.33;95380.42;92342.7;62432.9;99942.59;68969.43;79865.83;69636.96;89226.52;166583.52;895279.2;;;;;;;;;;;;;;;;;;;;;;;222;270;272;188;267;177;206;160;264;426;2452;;;;;;;;;;;;;;;;;;;;;;;222;270;272;188;267;177;206;160;264;426;2452;;;;;;;;;;;;;;;;;;;;;;;;4;9;7;12;11;21;18;16;23;121;;1.48;3.31;3.72;4.49;6.21;10.19;11.25;6.06;5.4;4.93;695;1353;1019;849;1239;790;942;707;1384;2597;11575
250050 ALAGOINHA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250053 ALCANTIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250057 ALGODAO DE JANDAIRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250060 ALHANDRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250070 SAO JOAO DO RIO DO PEIXE;99292.57;41134.32;41044.95;45344.93;91635.74;67075.27;91666.22;36081.37;40331.89;120011.14;673618.4;;;;;;;;;;;;99292.57;41134.32;41044.95;45344.93;91635.74;67075.27;91666.22;36081.37;40331.89;120011.14;673618.4;;;;;;;;;;;;;;;;;;;;;;;273;110;116;120;205;173;214;107;68;242;1628;;;;;;;;;;;;;;;;;;;;;;;273;110;116;120;205;173;214;107;68;242;1628;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;4;6;;;0.86;;;;0.47;;;1.65;0.37;1100;440;436;454;852;694;933;416;277;1160;6762
250073 AMPARO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250077 APARECIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250080 ARACAGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250090 ARARA;66274.01;31357.01;18911.27;23459.47;43141.89;7327.87;9500.6;443.4;416.39;2765.67;203597.58;;;;;;;;;;;;66274.01;31357.01;18911.27;23459.47;43141.89;7327.87;9500.6;443.4;416.39;2765.67;203597.58;;;;;;;;;;;;;;;;;;;;;;;183;84;52;70;147;21;23;1;1;8;590;;;;;;;;;;;;;;;;;;;;;;;183;84;52;70;147;21;23;1;1;8;590;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;1;;;;;;6;0.55;1.19;3.85;1.43;0.68;;;;;;1.02;714;288;154;227;436;44;71;1;8;12;1955
250100 ARARUNA;511532.64;436811.25;467066.26;475394.49;;;;;;;1890804.64;;;;;;;;;;;;452331.6;400109.83;407584.7;427393.15;;;;;;;1687419.28;59201.04;36701.42;59481.56;48001.34;;;;;;;203385.36;;;;;;;;;;;;1479;1347;1442;1497;;;;;;;5765;;;;;;;;;;;;;;;;;;;;;;;1388;1285;1349;1425;;;;;;;5447;91;62;93;72;;;;;;;318;;;;;;;;;;;;2;;5;4;;;;;;;11;0.14;;0.35;0.27;;;;;;;0.19;3912;3524;3631;3819;;;;;;;14886
250110 AREIA;191000.68;133553.8;115054.34;86750.25;38530.47;33133.25;70855.47;58024.4;67596.78;81256.16;875755.6;;;;;;;;;;;;191000.68;133553.8;115054.34;86750.25;38530.47;33133.25;70855.47;58024.4;67596.78;81256.16;875755.6;;;;;;;;;;;;;;;;;;;;;;;546;379;297;237;80;78;165;125;154;197;2258;;;;;;;;;;;;;;;;;;;;;;;546;379;297;237;80;78;165;125;154;197;2258;;;;;;;;;;;;;;;;;;;;;;;12;14;18;18;6;10;15;16;36;31;176;2.2;3.69;6.06;7.59;7.5;12.82;9.09;12.8;23.38;15.74;7.79;2033;1410;1149;1067;309;388;914;644;1165;1173;10252
250115 AREIA DE BARAUNAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250120 AREIAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250130 AROEIRAS;36051.63;70102.93;50866.35;46805.85;75984.9;40695.78;37349.56;20461.38;92288.29;107246.76;577853.43;;;;;;;;;;;;36051.63;70102.93;50866.35;46805.85;75984.9;40695.78;37349.56;20461.38;92288.29;107246.76;577853.43;;;;;;;;;;;;;;;;;;;;;;;127;215;202;147;210;103;94;46;146;222;1512;;;;;;;;;;;;;;;;;;;;;;;127;215;202;147;210;103;94;46;146;222;1512;;;;;;;;;;;;;;;;;;;;;;;2;2;1;5;9;9;12;7;11;23;81;1.57;0.93;0.5;3.4;4.29;8.74;12.77;15.22;7.53;10.36;5.36;285;688;526;541;983;568;605;226;699;1617;6738
250135 ASSUNCAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250140 BAIA DA TRAICAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250150 BANANEIRAS;451383.03;219458.82;50612.34;126760.22;62967.16;44591.85;48144.94;31173.79;22418.65;44913.17;1102423.97;;;;;;;;;;;;261575.41;119700.33;50432.72;126760.22;62967.16;44591.85;48144.94;31173.79;22418.65;44913.17;812678.24;189807.62;99758.49;179.62;;;;;;;;289745.73;;;;;;;;;;;;1251;600;185;450;223;176;193;104;45;109;3336;;;;;;;;;;;;;;;;;;;;;;;895;413;184;450;223;176;193;104;45;109;2792;356;187;1;;;;;;;;544;;;;;;;;;;;;9;3;1;18;11;7;6;7;2;3;67;0.72;0.5;0.54;4;4.93;3.98;3.11;6.73;4.44;2.75;2.01;3579;1578;601;1546;846;693;663;394;126;221;10247
250153 BARAUNA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250157 BARRA DE SANTANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250160 BARRA DE SANTA ROSA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250170 BARRA DE SAO MIGUEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250180 BAYEUX;312831.83;207940.68;283112.29;246592.87;383468.72;386073.47;417599.85;376781.71;498244.56;904983.58;4017629.56;;;;;;;;;;;;100794.19;110667.2;145549.96;107013.84;177792.12;164678.52;195892.45;202327.32;238692.85;192280.79;1635689.24;212037.64;97273.48;137562.33;139579.03;205676.6;221394.95;221707.4;174454.39;259551.71;712702.79;2381940.32;;;;;;;;;;;;662;397;529;474;830;714;773;738;955;1473;7545;;;;;;;;;;;;;;;;;;;;;;;207;227;293;222;408;342;412;422;495;402;3430;455;170;236;252;422;372;361;316;460;1071;4115;;;;;;;;;;;;1;;;;;;;;;;1;0.15;;;;;;;;;;0.01;1339;999;1326;1195;2081;1838;2237;2145;2640;2471;18271
250190 BELEM;263682.32;221192.02;151797.8;54938.61;111109.24;140309.14;188704.64;77238.02;148098.81;172088.58;1529159.18;;;;;;;;;;;;129694.77;78464.31;84427.59;7233.56;3478.56;8241.16;15348.48;6107.63;12233.71;12292.09;357521.86;133987.55;142727.71;67370.21;47705.05;107630.68;132067.98;173356.16;71130.39;135865.1;159796.49;1171637.32;;;;;;;;;;;;595;447;321;105;210;263;343;142;269;295;2990;;;;;;;;;;;;;;;;;;;;;;;374;193;206;16;7;18;31;13;27;27;912;221;254;115;89;203;245;312;129;242;268;2078;;;;;;;;;;;;3;6;7;;;1;;;;;17;0.5;1.34;2.18;;;0.38;;;;;0.57;1830;1263;1078;210;432;508;654;248;452;398;7073
250200 BELEM DO BREJO DO CRUZ;192982.28;208718.9;120550.25;70655.69;61850.87;43266.78;57434.62;74070.84;49716.05;28367.3;907613.58;;;;;;;;;;;;190044.02;196317.79;120550.25;70655.69;61850.87;43266.78;57434.62;74070.84;49716.05;28367.3;892274.21;2938.26;12401.11;;;;;;;;;15339.37;;;;;;;;;;;;516;504;286;171;149;105;133;111;84;52;2111;;;;;;;;;;;;;;;;;;;;;;;511;484;286;171;149;105;133;111;84;52;2086;5;20;;;;;;;;;25;;;;;;;;;;;;;;3;3;3;4;3;6;1;2;25;;;1.05;1.75;2.01;3.81;2.26;5.41;1.19;3.85;1.18;1089;1339;727;429;424;321;461;469;400;203;5862
250205 BERNARDINO BATISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250210 BOA VENTURA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250215 BOA VISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250220 BOM JESUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250230 BOM SUCESSO;102170.59;96283.16;92068.27;104735.11;22983.95;15342.64;7997.71;11695.45;3838.52;;457115.4;;;;;;;;;;;;102170.59;96283.16;92068.27;104735.11;22983.95;15342.64;7997.71;11695.45;3838.52;;457115.4;;;;;;;;;;;;;;;;;;;;;;;311;275;271;335;66;39;24;26;11;;1358;;;;;;;;;;;;;;;;;;;;;;;311;275;271;335;66;39;24;26;11;;1358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;7.69;;;0.15;711;698;699;816;145;107;49;130;42;;3397
250240 BONITO DE SANTA FE;54315.54;61956.58;54870.78;67161.88;61151.86;96029.2;57382.97;51764.9;58743.67;54935.19;618312.57;;;;;;;;;;;;54315.54;61956.58;54870.78;67161.88;61151.86;96029.2;57382.97;51764.9;58743.67;54935.19;618312.57;;;;;;;;;;;;;;;;;;;;;;;132;145;126;160;143;241;129;81;121;124;1402;;;;;;;;;;;;;;;;;;;;;;;132;145;126;160;143;241;129;81;121;124;1402;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;1;2;7;;;;;0.7;0.41;;2.47;0.83;1.61;0.5;502;594;438;517;543;762;447;299;388;544;5034
250250 BOQUEIRAO;54672.78;64026.93;99130.02;74748.94;78432.84;115180.46;80936.22;65220.03;76646.75;112005.58;821000.55;;;;;;;;;;;;54672.78;64026.93;99130.02;74748.94;78432.84;115180.46;80936.22;65220.03;76646.75;112005.58;821000.55;;;;;;;;;;;;;;;;;;;;;;;150;171;250;192;180;276;203;166;137;268;1993;;;;;;;;;;;;;;;;;;;;;;;150;171;250;192;180;276;203;166;137;268;1993;;;;;;;;;;;;;;;;;;;;;;;1;;3;2;7;9;7;12;5;14;60;0.67;;1.2;1.04;3.89;3.26;3.45;7.23;3.65;5.22;3.01;346;435;775;808;905;1372;968;942;610;1366;8527
250260 IGARACY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250270 BORBOREMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250280 BREJO DO CRUZ;251911.03;244129.06;260304.76;210988.84;178164.68;147213.93;110067.14;69331.07;79581.89;78385.45;1630077.85;;;;;;;;;;;;251911.03;202922.57;246392.74;210988.84;178164.68;147213.93;110067.14;69331.07;79581.89;78385.45;1574959.34;;41206.49;13912.02;;;;;;;;55118.51;;;;;;;;;;;;615;530;657;591;521;405;271;174;180;177;4121;;;;;;;;;;;;;;;;;;;;;;;615;466;635;591;521;405;271;174;180;177;4035;;64;22;;;;;;;;86;;;;;;;;;;;;1;1;1;2;3;9;8;13;7;14;59;0.16;0.19;0.15;0.34;0.58;2.22;2.95;7.47;3.89;7.91;1.43;1369;1103;1420;1332;1260;1118;938;786;775;648;10749
250290 BREJO DOS SANTOS;386660.07;390519.35;356845.46;329272.17;320089.28;48443.83;127762.59;290641.59;247910.14;;2498144.48;;;;;;;;;;;;386660.07;390519.35;356845.46;329272.17;320089.28;48443.83;127762.59;290641.59;247910.14;;2498144.48;;;;;;;;;;;;;;;;;;;;;;;837;870;878;871;792;138;340;853;693;;6272;;;;;;;;;;;;;;;;;;;;;;;837;870;878;871;792;138;340;853;693;;6272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1839;1903;1966;1852;1726;304;1002;2928;2333;;15853
250300 CAAPORA;382030.45;450178.95;413363.01;300794.18;151589.21;;;61614.51;826064.82;863870.45;3449505.58;;;;;;;;;;;;339144.4;425037.41;361569.77;264127.29;151589.21;;;61614.51;826064.82;863870.45;3293017.86;42886.05;25141.54;51793.24;36666.89;;;;;;;156487.72;;;;;;;;;;;;1122;1338;1249;1046;658;;;170;1118;1688;8389;;;;;;;;;;;;;;;;;;;;;;;1017;1272;1112;955;658;;;170;1118;1688;7990;105;66;137;91;;;;;;;399;;;;;;;;;;;;13;14;5;8;6;;;3;11;18;78;1.16;1.05;0.4;0.76;0.91;;;1.76;0.98;1.07;0.93;3385;3662;3357;2567;2020;;;603;2687;4605;22886
250310 CABACEIRAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250320 CABEDELO;776384.94;615575.98;234202.61;644917.37;641015.04;574379.57;978641.43;743323.01;877714.83;958874.48;7045029.26;;;;;;;;;;;;449925.53;365428.02;234202.61;534137.38;541923.57;473011.82;599566.64;550390.21;591201.61;508303.23;4848090.62;326459.41;250147.96;;110779.99;99091.47;101367.75;379074.79;192932.8;286513.22;450571.25;2196938.64;;;;;;;;;;;;1563;1203;417;1198;1146;1070;1851;1239;1530;1713;12930;;;;;;;;;;;;;;;;;;;;;;;950;720;417;977;970;874;1063;881;971;873;8696;613;483;;221;176;196;788;358;559;840;4234;;;;;;;;;;;;15;36;55;96;90;74;109;104;83;105;767;0.96;2.99;13.19;8.01;7.85;6.92;5.89;8.39;5.42;6.13;5.93;5448;4488;2533;6337;6165;5219;7123;5123;5761;6219;54416
250330 CACHOEIRA DOS INDIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250340 CACIMBA DE AREIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250350 CACIMBA DE DENTRO;;;49101.06;21271.08;;9028;10390.2;12115.8;10657.6;5772.2;118335.94;;;;;;;;;;;;;;48741.82;21271.08;;9028;10390.2;12115.8;10657.6;5772.2;117976.7;;;359.24;;;;;;;;359.24;;;;;;;;;;;;;;133;53;;20;23;27;24;13;293;;;;;;;;;;;;;;;;;;;;;;;;;131;53;;20;23;27;24;13;291;;;2;;;;;;;;2;;;;;;;;;;;;;;1;2;;;;;;;3;;;0.75;3.77;;;;;;;1.02;;;443;192;;20;24;26;25;13;743
250355 CACIMBAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250360 CAICARA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250370 CAJAZEIRAS;3992195.49;2698361.03;1300727.6;2833282.32;4093911.8;4324349.03;3440152.74;6394984.05;15403238.77;9149378.31;53630581.14;;;;;;;;;;;;2603822.12;1703241.77;784494.94;1740949.64;2285524.44;2347352.13;1775443.09;4303415.46;13049640.87;6191388.97;36785273.43;1388373.37;995119.26;516232.66;1092332.68;1808387.36;1976996.9;1664568.3;2091568.59;2353597.9;2957989.34;16845166.36;;;;;;;141.35;;;;141.35;5457;4355;2653;4363;5314;6001;5194;6471;7498;8083;55389;;;;;;;;;;;;;;;;;;;;;;;3259;2657;1658;2557;2968;3105;2532;3604;4427;4393;31160;2198;1698;995;1806;2346;2896;2661;2867;3071;3690;24228;;;;;;;1;;;;1;336;254;112;331;472;371;305;528;663;591;3963;6.39;6.08;4.22;7.59;8.88;6.18;5.87;8.16;8.84;7.31;7.2;37155;26665;10047;18059;26503;29616;22602;30778;34938;38939;275302
250375 CAJAZEIRINHAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
