tipo_matriz;cod_ibge;classe_conta;conta_contabil;poder_orgao;financeiro_permanente;ano_fonte_recursos;fonte_recursos;exercicio;mes_referencia;divida_consolidada;data_referencia;entrada_msc;valor;natureza_conta;tipo_valor;complemento_fonte
MSCE;32;1;111111900;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;96;1568.59;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;98;9635.01;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;100;272.24;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;102;173.42;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;104;20000.0;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;106;53824.64;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;108;4159.51;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;110;1785182.3;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;112;3536474.27;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;114;2026215.41;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;116;153004.46;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;118;24000.0;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;20010000;2019;12;;2019-12-31T03:00:00Z;120;1.22;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;23900000;2019;12;;2019-12-31T03:00:00Z;122;26390.85;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;20900000;2019;12;;2019-12-31T03:00:00Z;124;50700.0;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;29400000;2019;12;;2019-12-31T03:00:00Z;126;496723.11;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;128;372434.31;D;ending_balance;
MSCE;32;1;111111900;20211;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;130;162492.52;D;ending_balance;
MSCE;32;1;111111900;50511;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;132;6664.51;D;ending_balance;
MSCE;32;1;111111900;60611;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;134;1925.73;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;136;240298.0;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;138;11365.81;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;140;2620.25;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;142;402.8;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;144;991052.5;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;146;95374230.77;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;13110000;2019;12;;2019-12-31T03:00:00Z;148;4924.06;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;150;7063266.8;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;152;9.55;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;25100000;2019;12;;2019-12-31T03:00:00Z;154;30706.27;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;22140000;2019;12;;2019-12-31T03:00:00Z;156;9500.0;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;22140000;2019;12;;2019-12-31T03:00:00Z;158;1586.82;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;29400000;2019;12;;2019-12-31T03:00:00Z;160;754.37;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;162;1259.88;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19790000;2019;12;;2019-12-31T03:00:00Z;164;1246.53;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;166;594174.52;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;168;649428.46;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;170;39.96;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;172;887.4;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;22140000;2019;12;;2019-12-31T03:00:00Z;174;159625.99;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;176;10138.95;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;178;5451619.51;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;180;865798.41;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;182;413.0;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;19300000;2019;12;;2019-12-31T03:00:00Z;184;157.3;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;186;1363111.61;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;188;340777.7;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;190;868.82;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;192;13779.26;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;19300000;2019;12;;2019-12-31T03:00:00Z;194;18926.63;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;196;54830.13;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;198;4129.3;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;200;35208.33;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;202;249727.28;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;204;508008.52;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;206;154049.14;D;ending_balance;
MSCE;32;1;111113000;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;208;89188.09;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;12110000;2019;12;;2019-12-31T03:00:00Z;210;149970.46;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;212;18242048.47;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;214;2478.0;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;216;111.75;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;218;4119362.92;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;12150000;2019;12;;2019-12-31T03:00:00Z;220;6429302.05;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;11210000;2019;12;;2019-12-31T03:00:00Z;222;16340.0;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;11210000;2019;12;;2019-12-31T03:00:00Z;224;29221.89;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;11900000;2019;12;;2019-12-31T03:00:00Z;226;150414.41;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;11900000;2019;12;;2019-12-31T03:00:00Z;228;13551.49;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;230;657961.16;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;12150000;2019;12;;2019-12-31T03:00:00Z;232;331314.66;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;13110000;2019;12;;2019-12-31T03:00:00Z;234;87934.35;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;11900000;2019;12;;2019-12-31T03:00:00Z;236;9087.32;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;238;1279086.31;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;240;7765036.41;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;242;572588.79;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;244;13872.92;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;246;358702.22;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;2.0;22110000;2019;12;;2019-12-31T03:00:00Z;248;153065.29;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;2.0;25100000;2019;12;;2019-12-31T03:00:00Z;250;222347.66;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;2.0;25100000;2019;12;;2019-12-31T03:00:00Z;252;17966.29;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;2.0;22140000;2019;12;;2019-12-31T03:00:00Z;254;36000.0;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;2.0;22140000;2019;12;;2019-12-31T03:00:00Z;256;21438.82;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;2.0;21210000;2019;12;;2019-12-31T03:00:00Z;258;550567.77;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;2.0;21900000;2019;12;;2019-12-31T03:00:00Z;260;3484920.22;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;2.0;21900000;2019;12;;2019-12-31T03:00:00Z;262;311860.4;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;2.0;21900000;2019;12;;2019-12-31T03:00:00Z;264;209126.55;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;2.0;29400000;2019;12;;2019-12-31T03:00:00Z;266;4643726.95;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;268;6551306.46;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;11110000;2019;12;;2019-12-31T03:00:00Z;270;37244.68;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;272;6400.0;D;ending_balance;
MSCE;32;1;111115002;10111;1.0;2.0;20010000;2019;12;;2019-12-31T03:00:00Z;274;936669.33;D;ending_balance;
MSCE;32;1;111115002;50511;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;276;333570.93;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;278;400554720.29;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;280;849824.79;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;282;5837407.98;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12110000;2019;12;;2019-12-31T03:00:00Z;284;5924.63;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;12110000;2019;12;;2019-12-31T03:00:00Z;286;71.19;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;15300000;2019;12;;2019-12-31T03:00:00Z;288;892706026.02;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;290;159964666.36;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;11120000;2019;12;;2019-12-31T03:00:00Z;292;6846607.92;D;ending_balance;
MSCE;32;1;111115003;10111;1.0;1.0;11130000;2019;12;;2019-12-31T03:00:00Z;294;8649287.92;D;ending_balance;
